atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
"26",72.974246,,"73",0.000537,"1",12.9,msec,7/2,,,"+","2010",,,1.6,
"27",72.959238,,"73",0.000322,"1",42,msec,7/2,,,"-","1995",,,0.8,
"28",72.946206681,,"73",2.601e-06,"1",840,msec,9/2,,,"+","1987",,,30,
"29",72.936674376,,"73",2.084e-06,"1",4.2,sec,3/2,1.16306674480438,-0.209999993443489,"-","1983",0.000533333339262754,,0.12,0.0100000007078052
"30",72.92958258,,"73",2e-06,"1",24.5,sec,1/2,1.11619997024536,0,"-","1972",0.000999999931082129,,0.2,0
"31",72.92517468,,"73",1.8e-06,"1",4.86,hour,3/2,0.139333337545395,0.209000006318092,"-","1949",0.00133333343546838,,0.03,0.0020000000949949
"32",72.923458954,7.76,"73",6.1e-08,"0",,,9/2,-0.195164442062378,-0.195999994874001,"+","1933",1.11111112346407e-05,0.08,,0.00100000004749745
"33",72.923829086,,"73",4.136e-06,"1",80.3,day,3/2,,,"-","1948",,,0.06,
"34",72.926754881,,"73",7.969e-06,"1",7.15,hour,9/2,0.198222219944,,"+","1948",0.00288888905197382,,0.09,
"35",72.931673441,,"73",7.237e-06,"1",3.4,minute,1/2,,0,"-","1970",,,0.2,0
"36",72.939289193,,"73",7.061e-06,"1",27.3,sec,3/2,,,,"1972",,,1,
"37",72.950604506,,"73",4.3794e-05,"1",,nsec,3/2,,,"-","1996",,,,
"38",72.9657,,"73",0.00043,"1",25.3,msec,5/2,,,"-","1993",,,1.4,
"26",73.977821,,"74",0.000537,"1",5,msec,"0",0,0,"+","2010",0,,5,0
"27",73.963993,,"74",0.000429,"1",31.3,msec,"7",,,"-","1995",,,1.3,
"28",73.947718,,"74",0.000215,"1",507.7,msec,"0",0,0,"+","1987",0,,4.6,0
"29",73.93987486,,"74",6.6e-06,"1",1.606,sec,"2",-0.533500015735626,0.270000010728836,"-","1987",0.00059999997029081,,0.009,0.0299999993294477
"30",73.92940726,,"74",2.7e-06,"1",95.6,sec,"0",0,0,"+","1972",0,,1.2,0
"31",73.926945725,,"74",3.214e-06,"1",8.12,minute,"3",0,0.550000011920929,"-","1956",0.0266666654497385,,0.12,0.0399999991059303
"32",73.92117776,36.52,"74",1.3e-08,"0",,,"0",0,0,"+","1923",0,0.12,,0
"33",73.923928596,,"74",1.817e-06,"1",17.77,day,"2",-0.797999978065491,,"-","1938",0.00150000001303852,,0.02,
"34",73.922475933,0.86,"74",1.5e-08,"0",,,"0",0,0,"+","1922",0,0.03,,0
"35",73.929910279,,"74",6.264e-06,"1",25.4,minute,"0",0,0,"-","1952",0,,0.3,0
"36",73.933084016,,"74",2.161e-06,"1",11.5,minute,"0",0,0,"+","1960",0,,0.11,0
"37",73.944265867,,"74",3.249e-06,"1",64.78,msec,"0",0,0,"+","1977",0,,0.03,0
"38",73.95617,,"74",0.000107,"1",27.6,msec,"0",0,0,"+","1995",0,,2.6,0
"26",74.984219,,"75",0.000644,"1",,msec,9/2,,,"+","2013",,,,
"27",74.967192,,"75",0.000429,"1",26.5,msec,7/2,,,"-","1995",,,1.2,
"28",74.952506,,"75",0.000215,"1",331.6,msec,9/2,,,"+","1992",,,3.2,
"29",74.941523817,,"75",7.7e-07,"1",1.224,sec,5/2,0.402759969234467,-0.28099998831749,"-","1985",0.00039999996079132,,0.003,0.017000000923872
"30",74.932840244,,"75",2.1e-06,"1",10.2,sec,7/2,-0.225171431899071,0.159999996423721,"+","1974",0.000257142848568037,,0.2,0.0199999995529652
"31",74.926504484,,"75",7.2e-07,"1",126,sec,3/2,1.22333335876465,-0.284999996423721,"-","1960",0.00266666687093675,,2,0.017000000923872
"32",74.92285837,,"75",5.5e-08,"1",82.78,minute,1/2,1.01800000667572,0,"-","1939",0.0100000007078052,,0.04,0
"33",74.921594562,100,"75",9.48e-07,"0",,,3/2,0.958866655826569,0.310999989509583,"-","1920",0.000199999994947575,0,,0.0020000000949949
"34",74.92252287,,"75",7.8e-08,"1",119.78,day,5/2,0.273200005292892,1.10000002384186,"+","1947",0.00400000018998981,,0.03,0.200000002980232
"35",74.925810566,,"75",4.6e-06,"1",96.7,minute,3/2,0.506666660308838,,"-","1948",0.119999997317791,,1.3,
"36",74.930945744,,"75",8.7e-06,"1",4.6,minute,5/2,-0.212400004267693,1.13699996471405,"+","1960",0.00160000007599592,,0.07,0.0130000002682209
"37",74.9385732,,"75",1.266e-06,"1",19,sec,3/2,0.386000007390976,0.810000002384186,,"1975",0.000666666717734188,,1.2,0.0399999991059303
"38",74.949952767,,"75",0.000236183,"1",85.2,msec,3/2,,,"-","1991",,,2.3,
"39",74.96584,,"75",0.000322,"1",,usec,5/2,,,"+",,,,,
"26",75.988631,,"76",0.000644,"1",,msec,"0",0,0,"+","2017",0,,,0
"27",75.972453,,"76",0.000537,"1",23,msec,"8",,,"-","2010",,,6,
"28",75.954707,,"76",0.000322,"1",234.6,msec,"0",0,0,"+","1995",0,,2.7,0
"29",75.945268974,,"76",9.8e-07,"1",637.7,msec,"3",-0.363566666841507,0.360000014305115,"-","1987",0.000500000023748726,,5.5,0.0199999995529652
"30",75.933114956,,"76",1.562e-06,"1",5.7,sec,"0",0,0,"+","1974",0,,0.3,0
"31",75.928827624,,"76",2.1e-06,"1",30.6,sec,"2",-0.472499996423721,0.330000013113022,"+","1961",0.0020000000949949,,0.6,0.0199999995529652
"32",75.921402725,7.75,"76",1.9e-08,"1",1.88,Zyear,"0",0,0,"+","1933",0,0.12,0.08,0
"33",75.922392011,,"76",9.51e-07,"1",1.0933,day,"2",0.451150000095367,,"-","1934",0.000499999965541065,,0.0038,
"34",75.919213702,9.23,"76",1.7e-08,"0",,,"0",0,0,"+","1922",0,0.07,,0
"35",75.924541574,,"76",1.0007e-05,"1",16.2,hour,"1",0.547699987888336,0.250999987125397,"-","1952",9.99999974737875e-05,,0.2,0.00400000018998981
"36",75.925910743,,"76",4.308e-06,"1",14.8,hour,"0",0,0,"+","1954",0,,0.1,0
"37",75.935073031,,"76",1.006e-06,"1",36.5,sec,"1",-0.372552007436752,0.409999996423721,,"1969",1.10000000859145e-05,,0.6,0.0899999961256981
"38",75.94176276,,"76",3.7e-05,"1",7.89,sec,"0",0,0,"+","1990",0,,0.07,0
"39",75.958937,,"76",0.000322,"1",28,msec,"1",,,"-","2001",,,9,
"27",76.976479,,"77",0.000644,"1",15,msec,7/2,,,"-","2014",,,6,
"28",76.959903,,"77",0.000429,"1",158.9,msec,9/2,,,"+","1995",,,4.2,
"29",76.947543599,,"77",1.3e-06,"1",470.3,msec,5/2,0.638520002365112,-0.270000010728836,"+","1987",0.000679999939166009,,1.7,0.0299999993294477
"30",76.936887197,,"77",2.117e-06,"1",2.08,sec,7/2,-0.259057134389877,0.479999989271164,"+","1977",2.85714286292205e-05,,0.05,0.0399999991059303
"31",76.929154299,,"77",2.6e-06,"1",13.2,sec,3/2,1.34533321857452,-0.208000004291534,"-","1968",0.0020000000949949,,0.2,0.0130000002682209
"32",76.923549843,,"77",5.6e-08,"1",11.211,hour,7/2,,,"+","1939",,,0.003,
"33",76.920647555,,"77",1.816e-06,"1",38.79,hour,3/2,0.862666666507721,,"-","1951",0.000866666669026017,,0.05,
"34",76.91991415,7.6,"77",6.7e-08,"0",,,1/2,1.06711995601654,0,"-","1922",9.99999974737875e-05,0.07,,0
"35",76.921379193,,"77",3.017e-06,"1",57.04,hour,3/2,0.64873331785202,0.5,"-","1948",0.00039999998989515,,0.12,0.0199999995529652
"36",76.924669999,,"77",2.1e-06,"1",72.6,minute,5/2,-0.233199998736382,0.948000013828278,"+","1948",0.00120000005699694,,0.9,0.0100000007078052
"37",76.930401599,,"77",1.4e-06,"1",3.78,minute,3/2,0.436226695775986,0.839999973773956,"-","1972",1.33333332996699e-05,,0.04,0.170000001788139
"38",76.937945454,,"77",8.5e-06,"1",9,sec,5/2,-0.139200001955032,1.26999998092651,"+","1976",0.00160000007599592,,0.2,0.0499999970197678
"39",76.950146,,"77",0.000218,"1",63,msec,5/2,,,"+","1999",,,17,
"40",76.966076,,"77",0.000429,"1",,usec,3/2,,,"-","2017",,,,
"27",77.983553,,"78",0.000751,"1",,msec,,,,,"2017",,,,
"28",77.962555,,"78",0.000429,"1",122.2,msec,"0",0,0,"+","1995",0,,5.1,0
"29",77.951916524,,"78",1.4312e-05,"1",330.7,msec,"6",0.0396666675806046,0.0199999995529652,"-","1991",0.000500000023748726,,2,0.0999999940395355
"30",77.938289204,,"78",2.086e-06,"1",1.47,sec,"0",0,0,"+","1977",0,,0.15,0
"31",77.931610854,,"78",1.127e-06,"1",5.09,sec,"2",-0.60699999332428,0.330000013113022,"+","1972",0.00250000017695129,,0.05,0.0199999995529652
"32",77.922852911,,"78",3.795e-06,"1",88,minute,"0",0,0,"+","1953",0,,1,0
"33",77.921827771,,"78",1.0498e-05,"1",90.7,minute,"2",,,"-","1937",,,0.2,
"34",77.917309244,23.69,"78",1.91e-07,"0",,,"0",0,0,"+","1922",0,0.22,,0
"35",77.921145858,,"78",3.842e-06,"1",6.45,minute,"1",0.129999995231628,,"+","1937",0.0299999993294477,,0.04,
"36",77.920366341,0.355,"78",3.29e-07,"0",,,"0",0,0,"+","1920",0,0.003,,0
"37",77.928141866,,"78",3.475e-06,"1",17.66,minute,"0",0,0,"+","1968",0,,0.03,0
"38",77.932179979,,"78",8e-06,"1",156.1,sec,"0",0,0,"+","1982",0,,2.7,0
"39",77.94399,,"78",0.00032,"1",54,msec,"0",0,0,"+","1992",0,,5,0
"40",77.956146,,"78",0.000429,"1",,msec,"0",0,0,"+","2001",0,,,0
"28",78.969769,,"79",0.000537,"1",44,msec,5/2,,,"+","2010",,,8,
"29",78.9544731,,"79",0.0001127,"1",241.3,msec,5/2,,,"-","1991",,,2.1,
"30",78.942638067,,"79",2.388e-06,"1",746,msec,9/2,-0.26348888874054,0.400000005960464,"+","1981",0.000222222210140899,,42,0.0399999991059303
"31",78.932851582,,"79",1.296e-06,"1",2.848,sec,3/2,0.697333335876465,0.158000007271767,"-","1974",0.0020000000949949,,0.003,0.0100000007078052
"32",78.925359506,,"79",3.9893e-05,"1",18.98,sec,1/2,,0,,"1970",,,0.03,0
"33",78.920948419,,"79",5.716e-06,"1",9.01,minute,3/2,,,"-","1950",,,0.15,
"34",78.918499252,,"79",2.38e-07,"1",327,kyear,7/2,-0.290857136249542,0.800000011920929,"+","1950",0.00428571458905935,,28,0.200000002980232
"35",78.918337574,50.65,"79",1.074e-06,"0",,,3/2,1.40306663513184,0.308699995279312,"-","1920",0.00039999998989515,0.09,,0.000199999994947575
"36",78.920082919,,"79",3.736e-06,"1",35.04,hour,1/2,1.07200002670288,0,"-","1948",0.00400000018998981,,0.1,0
"37",78.923990095,,"79",2.085e-06,"1",22.9,minute,5/2,1.34292006492615,-0.119999997317791,"+","1957",0.00047999998787418,,0.5,0.0399999991059303
"38",78.929704692,,"79",7.967e-06,"1",2.25,minute,3/2,-0.316000014543533,0.66100001335144,"-","1972",0.00266666687093675,,0.1,0.00600000005215406
"39",78.937946,,"79",8.6e-05,"1",14.8,sec,5/2,,,"+","1992",,,0.6,
"40",78.94979,,"79",0.000322,"1",56,msec,5/2,,,"+","1999",,,30,
"41",78.966022,,"79",0.000537,"0",,,9/2,,,"+",,,,,
"28",79.975051,,"80",0.000644,"1",30,msec,"0",0,0,"+","2014",0,,22,0
"29",79.960623,,"80",0.000322,"1",113.3,msec,,,,,"1995",,,6.4,
"30",79.944552929,,"80",2.774e-06,"1",562.2,msec,"0",0,0,"+","1981",0,,3,0
"31",79.936420773,,"80",3.103e-06,"1",1.9,sec,"3",0.00599999958649278,0.379999995231628,"-","1974",0.000666666717734188,,0.1,0.0199999995529652
"32",79.925350773,,"80",2.205e-06,"1",29.5,sec,"0",0,0,"+","1972",0,,0.4,0
"33",79.92247444,,"80",3.578e-06,"1",15.2,sec,"1",,,"+","1954",,,0.2,
"34",79.916521761,49.8,"80",1.016e-06,"0",,,"0",0,0,"+","1922",0,0.36,,0
"35",79.918529784,,"80",1.065e-06,"1",17.68,minute,"1",0.513499975204468,0.181999996304512,"+","1937",0.00059999997029081,,0.02,0.00300000002607703
"36",79.91637794,2.286,"80",7.45e-07,"0",,,"0",0,0,"+","1920",0,0.01,,0
"37",79.922516442,,"80",2e-06,"1",33.4,sec,"1",-0.0833000019192696,0.419999986886978,"+","1961",0.000699999975040555,,0.7,0.0799999982118607
"38",79.924517538,,"80",3.718e-06,"1",106.3,minute,"0",0,0,"+","1961",0,,1.5,0
"39",79.93435475,,"80",6.701e-06,"1",30.1,sec,"4",,,"-","1981",,,0.5,
"40",79.941213,,"80",0.000322,"1",4.6,sec,"0",0,0,"+","1987",0,,0.6,0
"41",79.958754,,"80",0.000429,"0",,,"4",,,"-",,,,,
"28",80.982727,,"81",0.000751,"1",,msec,3/2,,,"+","2017",,,,
"29",80.965743,,"81",0.000322,"1",73.2,msec,5/2,,,"-","2010",,,6.8,
"30",80.950402617,,"81",5.4e-06,"1",299.4,msec,1/2,,0,"+","1991",,,2.1,0
"31",80.938133841,,"81",3.503e-06,"1",1.217,sec,5/2,0.698400020599365,-0.0480000004172325,"-","1976",0.0020000000949949,,0.005,0.00800000037997961
"32",80.928832941,,"81",2.205e-06,"1",9,sec,9/2,,,"+","1972",,,2,
"33",80.922132288,,"81",2.838e-06,"1",33.3,sec,3/2,,,"-","1960",,,0.8,
"34",80.917993019,,"81",1.049e-06,"1",18.45,minute,1/2,,0,"-","1948",,,0.12,0
"35",80.916288197,49.35,"81",1.049e-06,"0",,,3/2,1.51240003108978,0.25789999961853,"-","1920",0.00039999998989515,0.09,,0.000199999994947575
"36",80.916589703,,"81",1.152e-06,"1",229,kyear,7/2,-0.259142845869064,0.643999993801117,"+","1950",0.000571428623516113,,11,0.00400000018998981
"37",80.9189939,,"81",5.265e-06,"1",4.572,hour,3/2,1.37273323535919,0.479999989271164,"-","1949",0.000933333300054073,,0.004,0.0999999940395355
"38",80.923211393,,"81",3.358e-06,"1",22.3,minute,1/2,1.08599996566772,0,"-","1952",0.00800000037997961,,0.4,0
"39",80.929454283,,"81",5.802e-06,"1",70.4,sec,5/2,,,"+","1981",,,1,
"40",80.938245,,"81",9.9e-05,"1",5.5,sec,3/2,,,"-","1997",,,0.4,
"41",80.95023,,"81",0.000429,"0",,,9/2,,,"+",,,,,
"42",80.966226,,"81",0.000537,"1",,msec,5/2,,,"+","2013",,,,
"28",81.988492,,"82",0.000859,"1",,msec,"0",0,0,"+","2017",0,,,0
"29",81.972378,,"82",0.000429,"1",34,msec,,,,,"2010",,,7,
"30",81.954574097,,"82",3.3e-06,"1",177.9,msec,"0",0,0,"+","1997",0,,2.5,0
"31",81.943176531,,"82",2.604e-06,"1",600,msec,"2",,,"-","1976",,,2,
"32",81.929774031,,"82",2.405e-06,"1",4.31,sec,"0",0,0,"+","1972",0,,0.19,0
"33",81.924738731,,"82",4.003e-06,"1",19.1,sec,"2",,,"-","1968",,,0.5,
"34",81.916699531,8.82,"82",5e-07,"1",87.6,Eyear,"0",0,0,"+","1922",0,0.15,1.5,0
"35",81.916801752,,"82",1.042e-06,"1",35.282,hour,"5",0.325120002031326,0.697000026702881,"-","1937",0.000119999996968545,,0.007,0.0100000007078052
"36",81.91348115368,11.593,"82",5.91e-09,"0",,,"0",0,0,"+","1920",0,0.031,,0
"37",81.918209023,,"82",3.23e-06,"1",1.2575,minute,"1",0.554403007030487,0.230000004172325,"+","1949",1.59999999596039e-05,,0.0002,0.0999999940395355
"38",81.918399845,,"82",6.432e-06,"1",25.35,day,"0",0,0,"+","1952",0,,0.03,0
"39",81.926930189,,"82",5.902e-06,"1",8.3,sec,"1",,,"+","1980",,,0.2,
"40",81.931707497,,"82",1.7e-06,"1",32,sec,"0",0,0,"+","1982",0,,5,0
"41",81.94438,,"82",0.000322,"1",51,msec,"0",0,0,"+","1992",0,,5,0
"42",81.956661,,"82",0.000429,"1",,msec,"0",0,0,"+","2013",0,,,0
"29",82.97811,,"83",0.000537,"1",,msec,5/2,,,"-","2017",,,,
"30",82.961041,,"83",0.000322,"1",100,msec,3/2,,,"+","1997",,,3,
"31",82.9471203,,"83",2.804e-06,"1",310,msec,5/2,,,"-","1976",,,0.7,
"32",82.9345391,,"83",2.604e-06,"1",1.85,sec,5/2,,,"+","1972",,,0.06,
"33",82.9252069,,"83",3.004e-06,"1",13.4,sec,5/2,,,"-","1968",,,0.4,
"34",82.919118604,,"83",3.259e-06,"1",22.25,minute,9/2,,,"+","1937",,,0.04,
"35",82.915175285,,"83",4.073e-06,"1",2.374,hour,3/2,,,"-","1937",,,0.004,
"36",82.914126516,11.5,"83",9e-09,"0",,,9/2,-0.215717777609825,0.25900000333786,"+","1920",6.66666664983495e-07,0.019,,0.00100000004749745
"37",82.915114181,,"83",2.5e-06,"1",86.2,day,5/2,0.569840013980865,0.239999994635582,"-","1950",0.00031999999191612,,0.1,0.0499999970197678
"38",82.917554372,,"83",7.336e-06,"1",32.41,hour,7/2,-0.237000003457069,0.708000004291534,"+","1952",0.000199999994947575,,0.03,0.0110000008717179
"39",82.922484026,,"83",2e-05,"1",7.08,minute,9/2,,,"+","1962",,,0.08,
"40",82.929240926,,"83",6.902e-06,"1",42,sec,1/2,,0,"-","1974",,,2,0
"41",82.93815,,"83",0.000174,"1",3.9,sec,9/2,,,"+","1988",,,0.2,
"42",82.950252,,"83",0.00043,"1",23,msec,3/2,,,"-","1999",,,19,
"43",82.966377,,"83",0.000537,"0",,,1/2,,0,"-",,,,,0
"29",83.985271,,"84",0.000537,"0",,,,,,,,,,,
"30",83.965829,,"84",0.000429,"1",54,msec,"0",0,0,"+","2010",0,,8,0
"31",83.952663,,"84",3.2e-05,"1",97.6,msec,"0",0,0,"-","1991",0,,1.2,0
"32",83.93757509,,"84",3.403e-06,"1",951,msec,"0",0,0,"+","1972",0,,9,0
"33",83.92930329,,"84",3.403e-06,"1",3.16,sec,"2",,,"-","1968",,,0.58,
"34",83.918466761,,"84",2.105e-06,"1",3.26,minute,"0",0,0,"+","1960",0,,0.1,0
"35",83.916496417,,"84",2.7622e-05,"1",31.76,minute,"2",0.949999988079071,,"-","1943",0.349999994039536,,0.08,
"36",83.91149772708,56.987,"84",4.1e-09,"0",,,"0",0,0,"+","1920",0,0.015,,0
"37",83.914375223,,"84",2.355e-06,"1",32.82,day,"2",-0.662500023841858,-0.0199999995529652,"-","1947",0.00100000004749745,,0.07,0.0399999991059303
"38",83.913419118,0.56,"84",1.334e-06,"0",,,"0",0,0,"+","1936",0,0.02,,0
"39",83.92067106,,"84",4.615e-06,"1",39.5,minute,"6",,,"+","1962",,,0.8,
"40",83.923325663,,"84",5.903e-06,"1",25.8,minute,"0",0,0,"+","1977",0,,0.5,0
"41",83.934305711,,"84",4.3e-07,"1",9.8,sec,"1",,,"+","1977",,,0.9,
"42",83.941846,,"84",0.00032,"1",2.3,sec,"0",0,0,"+","1991",0,,0.3,0
"43",83.959527,,"84",0.000429,"0",,,"1",,,"+",,,,,
"30",84.973054,,"85",0.000537,"1",,msec,5/2,,,"+","2010",,,,
"31",84.957333,,"85",4e-05,"1",95.3,msec,5/2,,,"-","1997",,,1,
"32",84.942969658,,"85",4.003e-06,"1",495,msec,3/2,,,"+","1991",,,5,
"33",84.932163658,,"85",3.304e-06,"1",2.022,sec,5/2,,,"-","1967",,,0.007,
"34",84.922260758,,"85",2.804e-06,"1",32.9,sec,5/2,,,,"1960",,,0.3,
"35",84.915645758,,"85",3.304e-06,"1",2.9,minute,3/2,,,"-","1943",,,0.06,
"36",84.91252726,,"85",2.147e-06,"1",10.728,year,9/2,-0.223444432020187,0.442999988794327,"+","1940",8.88888898771256e-05,,0.007,0.00300000002607703
"37",84.91178973604,72.17,"85",5.37e-09,"0",,,5/2,0.541224002838135,0.275999993085861,"-","1921",1.59999999596039e-05,0.02,,0.00100000004749745
"38",84.912932041,,"85",3.02e-06,"1",64.846,day,9/2,-0.222244441509247,0.263000011444092,"+","1940",0.000155555550009012,,0.006,0.0140000004321337
"39",84.916433039,,"85",2.036e-05,"1",2.68,hour,1/2,,0,,"1952",,,0.05,0
"40",84.921443199,,"85",6.902e-06,"1",7.86,minute,7/2,,,"+","1963",,,0.04,
"41",84.928845836,,"85",4.4e-06,"1",20.5,sec,9/2,,,"+","1988",,,0.7,
"42",84.938260736,,"85",1.7e-05,"1",3.2,sec,1/2,,0,"+","1992",,,0.2,0
"43",84.950778,,"85",0.000429,"0",,,1/2,,0,"-",,,,,0
"44",84.967117,,"85",0.000537,"1",,msec,3/2,,,"-","2013",,,,
"30",85.978463,,"86",0.000537,"0",,,"0",0,0,"+",,0,,,0
"31",85.963757,,"86",0.000429,"1",49,msec,,,,,"1997",,,2,
"32",85.946967,,"86",0.00047,"1",221.6,msec,"0",0,0,"+","1994",0,,11,0
"33",85.936701532,,"86",3.703e-06,"1",945,msec,"1",,,"-","1973",,,8,
"34",85.924311732,,"86",2.705e-06,"1",14.3,sec,"0",0,0,"+","1973",0,,0.3,0
"35",85.918805432,,"86",3.304e-06,"1",55.1,sec,"1",,,"-","1962",,,0.4,
"36",85.91061062468,17.279,"86",3.99e-09,"0",,,"0",0,0,"+","1920",0,0.041,,0
"37",85.911167443,,"86",2.14e-07,"1",18.645,day,"2",-0.848699986934662,0.230000004172325,"-","1941",0.0007999999797903,,0.008,0.0599999986588955
"38",85.90926072473,9.86,"86",5.63e-09,"0",,,"0",0,0,"+","1931",0,0.2,,0
"39",85.914886095,,"86",1.5182e-05,"1",14.74,hour,"4",,,"-","1951",,,0.02,
"40",85.916296814,,"86",3.827e-06,"1",16.5,hour,"0",0,0,"+","1951",0,,0.1,0
"41",85.925781536,,"86",5.903e-06,"1",88,sec,"6",,,"+","1974",,,1,
"42",85.931174092,,"86",3.147e-06,"1",19.1,sec,"0",0,0,"+","1991",0,,0.3,0
"43",85.944637,,"86",0.000322,"1",55,msec,"0",0,0,"+","1992",0,,7,0
"44",85.957305,,"86",0.000429,"1",,msec,"0",0,0,"+","2013",0,,,0
"31",86.969007,,"87",0.000537,"1",29,msec,5/2,,,"-","2010",,,4,
"32",86.953204,,"87",0.000322,"1",103,msec,5/2,,,"+","1997",,,4,
"33",86.940291716,,"87",3.204e-06,"1",492,msec,5/2,,,"-","1970",,,25,
"34",86.928688616,,"87",2.405e-06,"1",5.5,sec,3/2,,,"+","1968",,,0.06,
"35",86.920674016,,"87",3.404e-06,"1",55.68,sec,5/2,,,"-","1943",,,0.12,
"36",86.913354759,,"87",2.64e-07,"1",76.3,minute,5/2,-0.408799976110458,-0.300000011920929,"+","1940",0.000800000037997961,,0.5,0.00300000002607703
"37",86.909180529,27.83,"87",6e-09,"1",49.7,Gyear,3/2,1.83419334888458,0.133499994874001,"-","1921",5.33333331986796e-05,0.02,0.3,0.000499999965541065
"38",86.90887749454,7,"87",5.5e-09,"0",,,9/2,-0.242924451828003,0.305000007152557,"+","1931",2.44444436248159e-05,0.2,,0.0020000000949949
"39",86.9108761,,"87",1.21e-06,"1",79.8,hour,1/2,-0.379999995231628,0,"-","1940",0.0399999991059303,,0.3,0
"40",86.914817338,,"87",4.45e-06,"1",1.68,hour,9/2,-0.198666661977768,0.419999986886978,"+","1948",0.00111111113801599,,0.01,0.0499999970197678
"41",86.920692473,,"87",7.302e-06,"1",3.7,minute,1/2,,0,,"1971",,,0.1,0
"42",86.928196198,,"87",3.067e-06,"1",14.1,sec,7/2,,,"+","1977",,,0.3,
"43",86.938067185,,"87",4.5e-06,"1",2.14,sec,9/2,,,"+","1991",,,0.17,
"44",86.950907,,"87",0.000429,"1",,msec,1/2,,0,"-","1995",,,,0
"31",87.975963,,"88",0.000537,"0",,,,,,,,,,,
"32",87.957574,,"88",0.000429,"1",61,msec,"0",0,0,"+","1997",0,,6,0
"33",87.94584,,"88",0.000215,"1",270,msec,,,,,"1994",,,150,
"34",87.93141749,,"88",3.604e-06,"1",1.53,sec,"0",0,0,"+","1970",0,,0.06,0
"35",87.92408329,,"88",3.404e-06,"1",16.34,sec,"1",,,"-","1948",,,0.08,
"36",87.914447879,,"88",2.8e-06,"1",2.825,hour,"0",0,0,"+","1939",0,,0.019,0
"37",87.91131559,,"88",1.7e-07,"1",17.78,minute,"2",0.253755003213882,-0.00999999977648258,"-","1939",9.99999974737875e-06,,0.03,0.109999999403954
"38",87.905612253,82.58,"88",6e-09,"0",,,"0",0,0,"+","1923",0,0.35,,0
"39",87.909501274,,"88",1.61e-06,"1",106.629,day,"4",-0.104999996721745,0.159999996423721,"-","1948",0.00249999994412065,,0.024,0.0299999993294477
"40",87.910220715,,"88",5.8e-06,"1",83.4,day,"0",0,0,"+","1951",0,,0.3,0
"41",87.918226476,,"88",6.2059e-05,"1",14.5,minute,"8",,,"+","1964",,,0.11,
"42",87.921967779,,"88",4.1e-06,"1",8,minute,"0",0,0,"+","1971",0,,0.2,0
"43",87.933794211,,"88",4.4e-06,"1",6.4,sec,"2",,,"+","1991",,,0.8,
"44",87.941664,,"88",0.000322,"1",1.5,sec,"0",0,0,"+","1994",0,,0.3,0
"45",87.960429,,"88",0.000429,"1",,msec,,,,,,,,,
"32",88.96453,,"89",0.000429,"1",,msec,3/2,,,"+","1997",,,,
"33",88.950048,,"89",0.000322,"1",,msec,5/2,,,"-","1994",,,,
"34",88.936669058,,"89",4.003e-06,"1",430,msec,5/2,,,"+","1971",,,50,
"35",88.926704558,,"89",3.504e-06,"1",4.357,sec,3/2,,,"-","1959",,,0.022,
"36",88.917835449,,"89",2.3e-06,"1",3.15,minute,3/2,-0.220000013709068,0.165999993681908,"+","1940",0.0020000000949949,,0.04,0.0020000000949949
"37",88.912278136,,"89",5.825e-06,"1",15.32,minute,3/2,1.58873331546783,0.170000001788139,"-","1940",0.000466666650027037,,0.1,0.0299999993294477
"38",88.907450808,,"89",9.8e-08,"1",50.563,day,5/2,-0.459199994802475,-0.252999991178513,"+","1937",0.000800000037997961,,0.025,0.00800000037997961
"39",88.905838156,100,"89",3.63e-07,"0",,,1/2,-0.274596005678177,0,"-","1923",9.99999974737875e-06,0,,0
"40",88.908879751,,"89",2.983e-06,"1",78.36,hour,9/2,-0.232222214341164,0.280000001192093,"+","1948",0.00133333331905305,,0.023,0.0999999940395355
"41",88.913444696,,"89",2.5367e-05,"1",2.03,hour,9/2,1.38133335113525,,"+","1954",0.00111111113801599,,0.07,
"42",88.919468149,,"89",4.2e-06,"1",2.11,minute,9/2,,,"+","1980",,,0.1,
"43",88.927648649,,"89",4.1e-06,"1",12.8,sec,9/2,,,"+","1991",,,0.9,
"44",88.937337849,,"89",2.6e-05,"1",1.32,sec,9/2,,,"+","1992",,,0.03,
"45",88.950992,,"89",0.000387,"0",,,9/2,,,"+",,,,,
"32",89.969436,,"90",0.000537,"1",,msec,"0",0,0,"+","2010",0,,,0
"33",89.955995,,"90",0.000429,"1",,msec,,,,,"1997",,,,
"34",89.940096,,"90",0.000354,"1",210,msec,"0",0,0,"+","1994",0,,80,0
"35",89.931292848,,"90",3.604e-06,"1",1.91,sec,,,,,"1959",,,0.01,
"36",89.919527929,,"90",2e-06,"1",32.32,sec,"0",0,0,"+","1951",0,,0.09,0
"37",89.914797557,,"90",6.926e-06,"1",158,sec,"0",0,0,"-","1951",0,,5,0
"38",89.90772787,,"90",1.555e-06,"1",28.91,year,"0",0,0,"+","1948",0,,0.03,0
"39",89.907141749,,"90",3.79e-07,"1",64.05,hour,"2",-0.814000010490417,-0.125,"-","1937",0.00400000018998981,,0.05,0.0110000008717179
