isotope_id,mode,relation,intensity,is_allowed_not_observed,is_observed_intensity_unknown
"641",B-n,=,7.4,,
"641",2n, ,,"1",
"642",B-,=,100,,
"642",B-n, ,,"1",
"643",B-,=,100,,
"643",B-n, ,,"1",
"644",B-,=,100,,
"645",B-,=,100,,
"647",B+,=,100,,
"648",B+,=,100,,
"649",B+,=,100,,
"650",B+,=,100,,
"650",B+p, ,,"1",
"651",p, ,,"1",
"652",B-, ,,"1",
"652",B-n, ,,"1",
"652",2n, ,,"1",
"653",B-, ,,"1",
"653",B-n, ,,"1",
"653",2n, ,,"1",
"654",B-,=,100,,
"654",B-n,=,10,,
"654",2n, ,,"1",
"655",B-,=,100,,
"655",B-n, ,,"1",
"656",B-,=,100,,
"656",B-n, ,,"1",
"657",B-,=,100,,
"658",B-,=,100,,
"660",EC,=,100,,
"661",B+,=,100,,
"662",B+,=,100,,
"663",B+,=,100,,
"663",B+p,=,0.5,,
"664",p, ,,"1",
"665",2p,=,37,,
"665",B+, ,,"1",
"666",B-, ,,"1",
"666",B-n, ,,"1",
"666",2n, ,,"1",
"667",B-,=,100,,
"667",B-n,=,18,,
"667",2n, ,,"1",
"668",B-,=,100,,
"668",B-n,>,0,,
"669",B-,=,100,,
"669",B-n, ,,"1",
"670",B-,=,100,,
"671",B-,=,100,,
"673",B+,=,100,,
"674",EC,=,100,,
"675",B+,=,100,,
"676",B+,=,100,,
"677",p, ,,"1",
"678",B+,=,,,"1"
"678",B+p,=,90,,
"678",p, ,,"1",
"679",B-, ,,"1",
"679",B-n, ,,"1",
"679",2n, ,,"1",
"680",B-,=,100,,
"680",B-n,=,40,,
"680",2n, ,,"1",
"681",B-,=,100,,
"681",B-n, ,,"1",
"681",2n, ,,"1",
"682",B-,=,100,,
"682",B-n, ,,"1",
"683",B-,=,100,,
"684",B-,=,100,,
"685",B-,=,100,,
"687",B+,=,100,,
"688",B+,=,100,,
"689",B+,=,100,,
"689",B+p,=,0.052,,
"690",p,=,100,,
"691",B+,=,100,,
"691",B+p,=,94,,
"692",B-, ,,"1",
"692",B-n, ,,"1",
"692",2n, ,,"1",
"693",B-,=,100,,
"693",B-n, ,,"1",
"693",2n, ,,"1",
"694",B-,=,100,,
"694",B-n, ,,"1",
"695",B-,=,100,,
"695",B-n, ,,"1",
"695",2n, ,,"1",
"696",B-,=,100,,
"697",B-,=,100,,
"698",2B-, ,,"1",
"699",B-,=,99.59,,
"699",EC,=,0.41,,
"701",B+,=,100,,
"702",B+,=,100,,
"703",B+,=,100,,
"703",B+p, ,,"1",
"704",B+,=,100,,
"704",B+p,<,1.3,,
"705",B-, ,,"1",
"705",B-n, ,,"1",
"705",2n, ,,"1",
"706",B-,=,100,,
"706",B-n, ,,"1",
"706",2n, ,,"1",
"707",B-,=,100,,
"707",B-n,=,3,,
"708",B-,=,100,,
"709",B-,=,100,,
"710",B-,=,100,,
"712",EC,=,100,,
"713",B+,=,100,,
"714",B+,=,100,,
"715",B+,=,100,,
"716",B+,=,100,,
"716",B+p,=,2.1,,
"717",p, ,,"1",
"718",B-, ,,"1",
"718",B-n, ,,"1",
"718",2n, ,,"1",
"719",B-,=,100,,
"719",B-n, ,,"1",
"719",2n, ,,"1",
"720",B-,=,100,,
"720",B-n,>,4,,
"720",2n, ,,"1",
"721",B-,=,100,,
"721",B-n, ,,"1",
"722",B-,=,100,,
"723",B-,=,100,,
"724",B-,=,100,,
"726",B+,=,100,,
"727",EC,=,100,,
"728",B+,=,100,,
"729",B+,=,100,,
"730",p, ,,"1",
"731",B-, ,,"1",
"732",B-,=,100,,
"732",B-n, ,,"1",
"732",2n, ,,"1",
"733",B-,=,100,,
"733",B-n,=,6,,
"733",2n, ,,"1",
"734",B-,=,100,,
"734",B-n, ,,"1",
"735",B-,=,100,,
"735",B-n,=,0.029,,
"736",B-,=,100,,
"737",B-,=,100,,
"739",EC,=,100,,
"740",B+,=,100,,
"741",B+,=,100,,
"742",B+,=,100,,
"742",B+p,=,0.25,,
"743",B+, ,,"1",
"743",p,~,100,,
"744",B+,=,100,,
"744",B+p,=,63,,
"745",B-,=,100,,
"745",B-n, ,,"1",
"745",2n, ,,"1",
"746",B-,=,100,,
"746",B-n,=,18,,
"746",2n, ,,"1",
"747",B-,=,100,,
"747",B-n, ,,"1",
"748",B-,=,100,,
"748",B-n,=,0.075,,
"749",B-,=,100,,
"750",B-,=,100,,
"752",B+,=,66,,
"752",B-,=,34,,
"753",2B+, ,,"1",
"754",B+,=,100,,
"755",B+,=,100,,
"756",B+,=,100,,
"756",B+p, ,,"1",
"757",B+,=,100,,
"757",B+p, ,,"1",
"758",B-, ,,"1",
"758",B-n, ,,"1",
"758",2n, ,,"1",
"759",B-,=,100,,
"759",B-n,<,16,,
"759",2n, ,,"1",
"760",B-,=,100,,
"760",B-n,=,10,,
"761",B-,=,100,,
"761",B-n,=,2.7,,
"762",B-,=,100,,
"763",B-,=,100,,
"764",B-,=,100,,
"766",EC,=,100,,
"767",B+,=,100,,
"768",B+,=,100,,
"769",B+,=,100,,
"770",B+,=,100,,
"770",B+p,=,5.2,,
"771",B+, ,,"1",
"771",B+p, ,,"1",
"771",p, ,,"1",
"772",B-, ,,"1",
"773",B-,=,100,,
"773",B-n, ,,"1",
"773",2n, ,,"1",
"774",B-,=,100,,
"774",B-n,=,14,,
"775",B-,=,100,,
"775",B-n,=,7.2,,
"776",B-,=,100,,
"777",B-,=,100,,
"778",2B-,=,100,,
"779",B-,=,100,,
"781",B+,=,100,,
"782",B+,=,100,,
"783",B+,=,100,,
"783",B+A,=,3.8,,
"784",B+,=,100,,
"784",B+p,=,3.4,,
"785",B+, ,,"1",
"785",p, ,,"1",
"785",B+p, ,,"1",
"786",B-,=,100,,
"786",B-n, ,,"1",
"786",2n, ,,"1",
"786",3n, ,,"1",
"787",B-,=,100,,
"787",B-n,=,26,,
"787",2n, ,,"1",
"788",B-,=,100,,
"788",B-n,=,30.1,,
"789",B-,=,100,,
"790",B-,=,100,,
"791",B-,=,100,,
"792",B-,=,100,,
"794",B+,=,100,,
"795",B+,=,100,,
"796",B+,=,100,,
"797",B+,=,100,,
"797",B+p,=,0.08,,
"798",B+,~,100,,
"798",B+p, ,,"1",
"798",p, ,,"1",
"799",B+, ,,"1",
"799",B+p, ,,"1",
"799",p, ,,"1",
"800",B-, ,,"1",
"801",B-,=,100,,
"801",B-n, ,,"1",
"801",2n, ,,"1",
"802",B-,=,100,,
"802",B-n,=,50.6,,
"802",2n, ,,"1",
"803",B-,=,100,,
"803",B-n, ,,"1",
"804",B-,=,100,,
"805",B-,=,100,,
"806",B-,=,100,,
"808",B+,~,100,,
"808",B-,<,0.01,,
"809",2B+, ,,"1",
"810",B+,=,100,,
"811",B+,=,100,,
"812",B+,=,100,,
"812",B+p, ,,"1",
"813",B+, ,,"1",
"813",B+p, ,,"1",
"814",B-,=,100,,
"814",B-n, ,,"1",
"814",2n, ,,"1",
"815",B-,=,100,,
"815",B-n,=,66,,
"815",2n, ,,"1",
"816",B-,=,100,,
"816",B-n,=,1.7,,
"817",B-,=,100,,
"817",B-n,=,0.089,,
"818",B-,=,100,,
"819",B-,=,100,,
"820",B-,=,100,,
"822",B+,=,100,,
"823",B+,=,100,,
"824",B+,=,100,,
"825",B+,=,100,,
"826",B+,=,100,,
"826",B+p, ,,"1",
"827",p, ,,"1",
"827",B+, ,,"1",
"827",B+p, ,,"1",
"828",B-,=,100,,
"828",B-n, ,,"1",
"828",2n, ,,"1",
"829",B-,=,100,,
"829",B-n,=,58,,
"829",2n, ,,"1",
"830",B-,=,100,,
"830",B-n,=,1.36,,
"831",B-,=,100,,
"831",B-n,=,0.86,,
"832",B-,=,100,,
"833",B-,=,100,,
"834",2B-, ,,"1",
"835",B-,=,91.7,,
"835",B+,=,8.3,,
"837",B+,=,100,,
"838",B+,=,100,,
"839",B+,=,100,,
"840",B+,=,100,,
"841",p, ,,"1",
"841",B+, ,,"1",
"841",B+p, ,,"1",
"842",B-, ,,"1",
"843",B-,=,100,,
"843",B-n,=,81,,
"843",2n, ,,"1",
"844",B-,=,100,,
"844",B-n,=,23,,
"844",2n, ,,"1",
"845",B-,=,100,,
"845",B-n,=,12.5,,
"846",B-,=,100,,
"847",B-,=,100,,
"848",B-,=,100,,
"850",EC,=,100,,
"851",B+,=,100,,
"852",B+,=,100,,
"853",B+,=,100,,
"854",B+,=,100,,
"854",B+p,=,0.12,,
"855",p, ,,"1",
"855",B+, ,,"1",
"855",B+p, ,,"1",
"856",B+, ,,"1",
"856",B+p, ,,"1",
"857",B-, ,,"1",
"858",B-,=,100,,
"858",B-n, ,,"1",
"858",2n, ,,"1",
"859",B-,=,100,,
"859",B-n,=,69,,
"859",2n, ,,"1",
"860",B-,=,100,,
"860",B-n,=,21.2,,
"860",2n, ,,"1",
"861",B-,=,100,,
"862",B-,=,100,,
"863",2B-,=,100,,
"864",B-,=,100,,
"866",B+,=,100,,
"867",EC,=,100,,
"868",B+,=,100,,
"869",B+,=,100,,
"870",B+,=,100,,
"870",B+p, ,,"1",
"871",B+, ,,"1",
"871",B+p, ,,"1",
"872",B-, ,,"1",
"872",B-n, ,,"1",
"872",2n, ,,"1",
"873",B-,=,100,,
"873",B-n,~,71,,
"873",2n, ,,"1",
"874",B-,=,100,,
"874",B-n,=,85,,
"874",2n, ,,"1",
"875",B-,=,100,,
"875",B-n, ,,"1",
"876",B-,=,100,,
"877",B-,=,100,,
"878",B-,=,100,,
"880",EC,=,100,,
"881",B+,=,100,,
"882",B+,=,100,,
"883",B+,=,100,,
"883",B+p,=,,,"1"
"884",B+,=,100,,
"885",B+,=,100,,
"885",B+p, ,,"1",
"886",p, ,,"1",
"886",B+, ,,"1",
"886",B+p, ,,"1",
"887",B-, ,,"1",
"887",B-n, ,,"1",
"888",B-,=,100,,
"888",B-n,=,73,,
"888",2n, ,,"1",
"889",B-,=,100,,
"889",B-n,=,43,,
"889",2n,=,1.6,,
"890",B-,=,100,,
"890",B-n,=,10.6,,
"891",B-,=,100,,
"891",B-n,=,0.28,,
"892",B-,=,100,,
"893",B-,=,100,,
"895",B+,=,96.1,,
"895",B-,=,3.9,,
"896",2B+, ,,"1",
"897",B+,=,100,,
"898",B+,=,100,,
"899",B+,=,100,,
"900",B+,=,100,,
"900",B+p, ,,"1",
"901",p, ,,"1",
"901",B+, ,,"1",
"901",B+p, ,,"1",
"902",B-, ,,"1",
"902",B-n, ,,"1",
"902",2n, ,,"1",
"903",B-,=,100,,
"903",B-n,=,77,,
"903",2n,=,1.3,,
"904",B-,=,100,,
"904",B-n,=,17.2,,
"904",2n, ,,"1",
"905",B-,=,100,,
"905",B-n,=,62.6,,
"906",B-,=,100,,
"907",B-,=,100,,
"908",B-,=,100,,
"910",EC,=,100,,
"911",B+,=,100,,
"912",B+,=,100,,
"913",B+,=,100,,
"914",B+,=,100,,
"914",B+p,=,0.14,,
"915",p, ,,"1",
"916",B+, ,,"1",
"916",B+p, ,,"1",
"916",p, ,,"1",
"917",B-, ,,"1",
"917",B-n, ,,"1",
"918",B-,=,100,,
"918",B-n,=,69,,
"918",2n,=,16.2,,
"919",B-,=,100,,
"919",B-n,=,45,,
"920",B-,=,100,,
"920",B-n,=,35.5,,
"920",2n, ,,"1",
"921",B-,=,100,,
"921",B-n, ,,"1",
"922",B-,=,100,,
"923",2B-, ,,"1",
"924",B-,~,100,,
"924",EC,=,0.0052,,
"926",B+,=,100,,
"927",B+,=,100,,
"928",B+,=,100,,
"929",B+,=,100,,
"930",B+,=,100,,
"930",B+p, ,,"1",
"931",B+, ,,"1",
"931",B+p, ,,"1",
"932",B-,=,100,,
"932",B-n,=,81,,
"932",2n,=,10.2,,
"933",B-,=,100,,
"933",B-n, ,,"1",
"933",2n, ,,"1",
"934",B-,=,100,,
"934",B-n,=,15.4,,
"934",2n, ,,"1",
"935",B-,=,100,,
"935",B-n,=,0.6,,
"936",B-,=,100,,
"936",B-n,=,2.6,,
"937",B-,=,100,,
"938",B-,=,100,,
"940",B+,=,100,,
"941",B+,=,100,,
"942",B+,=,100,,
"943",B+,=,100,,
"943",B+p,=,15,,
"944",B+,=,100,,
"944",B+p,<,0.7,,
"945",B+, ,,"1",
"945",B+p, ,,"1",
"946",B-, ,,"1",
"946",B-n, ,,"1",
"947",B-,=,100,,
"947",B-n, ,,"1",
"947",2n, ,,"1",
"948",B-,=,100,,
"948",B-n, ,,"1",
"949",B-,=,100,,
"949",B-n,=,0.99,,
"950",B-,=,100,,
"950",B-n,=,6.58,,
"951",B-,=,100,,
"952",B-,=,100,,
"954",B+,=,100,,
"955",EC,=,100,,
"956",B+,=,100,,
"957",B+,=,100,,
"958",B+,=,100,,
"958",B+p, ,,"1",
"959",B+,=,100,,
"959",B+p,<,3.6,,
"960",B+, ,,"1",
"961",B-, ,,"1",
"961",B-n, ,,"1",
"961",2n, ,,"1",
"962",B-, ,,"1",
"962",B-n, ,,"1",
"962",2n, ,,"1",
"963",B-,=,100,,
"963",B-n,=,7.8,,
"964",B-,=,100,,
"964",B-n,=,13.8,,
"965",B-,=,100,,
"966",B-,=,100,,
"967",B-,=,100,,
"969",B+,=,100,,
"970",B+,=,100,,
"971",B+,=,100,,
"972",B+,=,100,,
"973",B+,=,100,,
"973",B+p,=,3.1,,
"974",B+, ,,"1",
"974",B+p, ,,"1",
"974",p, ,,"1",
"975",B-, ,,"1",
"975",B-n, ,,"1",
"975",2n, ,,"1",
"976",B-, ,,"1",
"976",B-n, ,,"1",
"976",2n, ,,"1",
"977",B-,=,100,,
"977",B-n, ,,"1",
"978",B-,=,100,,
"978",B-n,=,25.3,,
"979",B-,=,100,,
"980",B-,=,100,,
"981",B-,=,100,,
"982",B-,=,100,,
"984",B+,=,100,,
"985",B+,=,100,,
"986",B+,=,100,,
"987",B+,=,100,,
"988",B+,=,100,,
"988",B+p,<,0.7,,
"989",B+, ,,"1",
"989",B+p, ,,"1",
"989",2p, ,,"1",
"990",B-, ,,"1",
"990",B-n, ,,"1",
"990",2n, ,,"1",
"991",B-,=,100,,
"991",B-n,=,21,,
"991",2n, ,,"1",
"992",B-,=,100,,
"992",B-n,=,29.5,,
"993",B-,=,100,,
"993",B-n, ,,"1",
"994",B-,=,100,,
"994",B-n, ,,"1",
"995",B-,=,100,,
"996",B-,=,100,,
"998",EC,~,100,,
"998",e+,=,0.0138,,
"999",B+,=,100,,
"1000",B+,=,100,,
"1001",B+,=,100,,
"1001",B+p, ,,"1",
"1002",B+,=,100,,
"1002",B+p,=,1.3,,
"1003",B+,=,100,,
"1003",B+p,=,3.1,,
"1004",B-, ,,"1",
"1004",B-n, ,,"1",
"1004",2n, ,,"1",
"1005",B-, ,,"1",
"1005",B-n, ,,"1",
"1005",2n, ,,"1",
"1006",B-,=,100,,
"1006",B-n,=,33.1,,
"1006",2n, ,,"1",
"1007",B-,=,100,,
"1007",B-n,=,0.0332,,
"1008",B-,=,100,,
"1008",B-n,=,0.0107,,
"1009",B-,=,100,,
"1010",B-,=,100,,
"1012",B+,=,100,,
"1013",2B+, ,,"1",
"1014",B+,=,100,,
"1015",B+,=,100,,
"1016",B+,=,100,,
"1016",B+p,=,2.05,,
"1017",B+,=,100,,
"1017",B+p,=,1.6,,
"1018",B+, ,,"1",
"1018",p, ,,"1",
"1019",B-, ,,"1",
"1019",B-n, ,,"1",
"1019",2n, ,,"1",
"1020",B-,=,100,,
"1020",B-n,=,64,,
"1020",2n, ,,"1",
"1021",B-,=,100,,
"1021",B-n,=,1.95,,
"1022",B-,=,100,,
"1022",B-n,=,1.39,,
"1023",B-,=,100,,
"1024",B-,=,100,,
"1025",B-,=,100,,
"1027",EC,=,100,,
"1028",B+,=,100,,
"1029",B+,=,100,,
"1030",B+,=,100,,
"1031",B+,=,100,,
"1031",B+p,=,7.4,,
"1032",p,=,,,"1"
"1032",B+, ,,"1",
"1032",B+p, ,,"1",
"1033",B-, ,,"1",
"1033",B-n, ,,"1",
"1033",2n, ,,"1",
"1034",B-,=,100,,
"1034",B-n,=,68,,
"1034",2n, ,,"1",
"1035",B-,=,100,,
"1035",B-n,=,1.11,,
"1036",B-,=,100,,
"1036",B-n,=,10.3,,
"1037",B-,=,100,,
"1038",B-,=,100,,
"1039",2B-, ,,"1",
"1040",B-,=,100,,
"1042",B+,=,100,,
"1043",B+,=,100,,
"1044",B+,=,100,,
"1044",B+p,=,1.8,,
"1045",B+,=,100,,
"1045",B+p,<,0.13,,
"1046",B+,=,100,,
"1046",B+p,<,0.2,,
"1047",B+, ,,"1",
"1047",B+p, ,,"1",
"1048",B-, ,,"1",
"1048",B-n, ,,"1",
"1048",2n, ,,"1",
"1049",B-, ,,"1",
"1049",B-n, ,,"1",
"1049",2n, ,,"1",
"1050",B-,=,100,,
"1050",B-n,=,2.87,,
"1050",2n, ,,"1",
"1051",B-,=,100,,
"1051",B-n,=,8.7,,
"1052",B-,=,100,,
"1053",B-,=,100,,
"1054",B-,=,100,,
"1055",B-,=,100,,
"1057",B+,=,100,,
"1058",B+,=,100,,
"1059",B+,=,100,,
"1060",B+,=,100,,
"1060",B+p,=,0.23,,
"1061",B+,=,100,,
"1061",B+p,=,2.3,,
"1062",B+,=,100,,
"1062",B+p,=,4.6,,
"1063",B-, ,,"1",
"1063",B-n, ,,"1",
"1063",2n, ,,"1",
"1064",B-,=,100,,
"1064",B-n,=,3.7,,
"1065",B-,=,100,,
"1065",B-n,=,13.7,,
"1065",2n, ,,"1",
"1066",B-,=,100,,
"1066",B-n, ,,"1",
"1067",B-,=,100,,
"1068",2B-,=,100,,
"1069",B-,=,100,,
"1071",B+,=,100,,
"1072",2B+, ,,"1",
"1073",B+,=,100,,
"1074",B+,=,100,,
"1075",B+,=,100,,
"1075",B+p,=,4.2,,
"1076",B+,=,100,,
"1076",B+p,=,1.6,,
"1077",B+, ,,"1",
"1077",p, ,,"1",
"1078",B-, ,,"1",
"1078",B-n, ,,"1",
"1078",2n, ,,"1",
"1079",B-,=,100,,
"1079",B-n,=,6.7,,
"1079",2n, ,,"1",
"1080",B-,=,100,,
"1080",B-n,=,25.5,,
"1080",2n, ,,"1",
"1081",B-,=,100,,
"1081",B-n,=,0.02,,
"1082",B-,=,100,,
"1082",B-n,=,0.055,,
"1083",B-,=,100,,
"1084",B-,=,100,,
"1086",EC,=,100,,
"1087",B+,=,100,,
"1088",B+,=,100,,
"1089",B+,=,100,,
"1090",B+,=,100,,
"1091",B+,=,100,,
"1091",B+p,=,7.4,,
"1092",B+,=,100,,
"1092",B+p,=,2.3,,
"1092",p, ,,"1",
"1093",B-, ,,"1",
"1093",B-n, ,,"1",
"1093",2n, ,,"1",
"1094",B-,=,100,,
"1094",B-n,=,7,,
"1094",2n, ,,"1",
"1095",B-,=,100,,
"1095",B-n,=,14.3,,
"1095",2n,=,0.054,,
"1096",B-,=,100,,
"1096",B-n,=,0.23,,
"1097",B-,=,100,,
"1097",B-n,=,0.33,,
"1098",B-,=,100,,
"1099",B-,=,100,,
"1100",2B-, ,,"1",
"1101",B-,=,100,,
"1101",B+,=,0,,
"1103",B+,=,100,,
"1104",B+,=,100,,
"1105",B+,=,100,,
"1105",B+p,=,0.0012,,
"1106",B+,=,100,,
"1106",B+p,<,0.029,,
"1107",B+,=,100,,
"1107",B+p,<,0.13,,
"1108",B-,=,100,,
"1108",B-n,=,11,,
"1108",2n, ,,"1",
"1109",B-,=,100,,
"1109",B-n,=,17.3,,
"1109",2n, ,,"1",
"1110",B-,=,100,,
"1110",B-n,=,0.1,,
"1111",B-,=,100,,
"1111",B-n,=,1.77,,
"1112",B-,=,100,,
"1113",B-,=,100,,
"1114",B-,=,100,,
"1115",B-,=,100,,
"1117",B+,=,100,,
"1118",B+,=,100,,
"1119",B+,=,100,,
"1120",B+,=,100,,
"1120",B+p,=,0.21,,
"1120",B+A,<,1,,
"1121",B+,=,100,,
"1121",B+p,=,0.29,,
"1122",B+,=,100,,
"1122",B+p,=,5,,
"1123",B-,=,100,,
"1123",B-n, ,,"1",
"1123",2n, ,,"1",
"1124",B-,=,100,,
"1124",B-n,=,5.6,,
"1124",2n,=,0.15,,
"1125",B-,=,100,,
"1125",B-n,=,1.11,,
"1126",B-,=,100,,
"1126",B-n, ,,"1",
"1127",B-,=,100,,
"1128",B-,=,100,,
"1129",2B-,=,100,,
"1130",B-,~,100,,
"1130",EC,=,0.0018,,
"1132",B+,=,100,,
"1132",EC,=,95.1,,
"1132",e+,=,4.9,,
"1133",EC,=,100,,
"1134",B+,=,100,,
"1135",B+,=,100,,
"1136",B+,=,100,,
"1136",B+p,=,1.66,,
"1137",B+,=,100,,
"1137",B+p,<,17,,
"1138",B-, ,,"1",
"1138",B-n, ,,"1",
"1138",2n, ,,"1",
"1139",B-,=,100,,
"1139",B-n,=,28,,
"1139",2n, ,,"1",
"1140",B-,=,100,,
"1140",B-n,=,2.75,,
"1141",B-,=,100,,
"1141",B-n,=,2.3,,
"1142",B-,=,100,,
"1143",B-,=,100,,
"1144",B-,=,100,,
"1145",B-,=,100,,
"1147",EC,=,100,,
"1148",B+,=,100,,
"1149",B+,=,100,,
"1150",B+,=,100,,
"1151",B+,=,100,,
"1151",B+p,<,1.7,,
"1152",B+,=,100,,
"1152",B+p,=,21,,
"1153",B-,=,100,,
"1153",B-n,=,65,,
"1153",2n, ,,"1",
"1154",B-,=,100,,
"1154",B-n,=,5.5,,
"1155",B-,=,100,,
"1155",B-n,<,2.6,,
"1156",B-,=,100,,
"1157",B-,=,100,,
"1158",B-,=,100,,
"1159",B-,=,100,,
"1161",B+,=,78,,
"1161",B-,=,22,,
"1162",2B+, ,,"1",
"1163",B+,=,100,,
"1164",B+,=,100,,
"1165",B+,=,100,,
"1165",B+p,=,0.0093,,
"1166",B+,=,100,,
"1167",p, ,,"1",
"1168",B-,=,100,,
"1168",B-n, ,,"1",
"1168",2n, ,,"1",
"1169",B-,=,100,,
"1169",B-n, ,,"1",
"1169",2n, ,,"1",
"1170",B-,=,100,,
"1170",B-n,=,8,,
"1171",B-,=,100,,
"1171",B-n,<,1,,
"1172",B-,=,100,,
"1172",B-n, ,,"1",
"1173",B-,=,100,,
"1174",B-,=,100,,
"1175",B-,=,100,,
"1177",EC,=,100,,
"1178",B+,=,100,,
"1179",B+,=,100,,
"1180",B+,=,100,,
"1181",B+,=,100,,
"1181",B+p,=,1.2,,
"1182",p, ,,"1",
"1183",B-, ,,"1",
"1183",B-n, ,,"1",
"1183",2n, ,,"1",
"1184",B-,=,100,,
"1184",B-n, ,,"1",
"1184",2n, ,,"1",
"1185",B-,=,100,,
"1185",B-n,=,34,,
"1185",2n, ,,"1",
"1186",B-,=,100,,
"1186",B-n,<,1,,
"1187",B-,=,100,,
"1187",B-n,=,0.05,,
"1188",B-,=,100,,
"1189",B-,=,100,,
"1190",2B-, ,,"1",
"1191",B-,=,99.55,,
"1191",B+,=,0.45,,
"1193",B+,=,100,,
"1194",B+,=,100,,
"1195",B+,=,100,,
"1196",B+,=,100,,
"1197",B+,=,,,"1"
"1197",B+p,<,7,,
"1197",p,<,7,,
"1197",A, ,,"1",
"1198",A,=,100,,
"1199",B-,=,100,,
"1199",B-n, ,,"1",
"1199",2n, ,,"1",
"1200",B-,=,100,,
"1200",B-n,<,82,,
"1200",2n, ,,"1",
"1201",B-,=,100,,
"1201",B-n,<,2,,
"1202",B-,=,100,,
"1202",B-n,=,1.7,,
"1203",B-,=,100,,
"1204",B-,=,100,,
"1205",B-,=,100,,
"1206",B-,=,100,,
"1208",B+,=,100,,
"1209",B+,=,100,,
"1210",B+,=,100,,
"1211",B+,=,100,,
"1211",B+p,=,0.011,,
"1212",B+,=,100,,
"1212",p,<,0.1,,
"1212",B+p, ,,"1",
"1213",A,~,100,,
"1214",B-,=,100,,
"1214",B-n, ,,"1",
"1214",2n, ,,"1",
"1215",B-,=,100,,
"1215",B-n, ,,"1",
"1215",2n, ,,"1",
"1216",B-,=,100,,
"1216",B-n,<,7,,
"1217",B-,=,100,,
"1217",B-n,=,4.5,,
"1218",B-,=,100,,
"1219",B-,=,100,,
"1220",B-,=,100,,
"1221",B-,=,100,,
"1223",B+,~,100,,
"1223",B-, ,,"1",
"1224",2B+, ,,"1",
"1225",B+,=,100,,
"1226",B+,=,100,,
"1227",B+,=,100,,
"1228",A,=,100,,
"1229",A, ,,"1",
"1230",B-, ,,"1",
"1230",B-n, ,,"1",
"1230",2n, ,,"1",
"1231",B-,=,100,,
"1231",B-n, ,,"1",
"1231",2n, ,,"1",
"1232",B-,=,100,,
"1232",B-n,<,23,,
"1233",B-,=,100,,
"1233",B-n,=,7.4,,
"1234",B-,=,100,,
"1235",B-,=,100,,
"1236",B-,=,100,,
"1237",B-,=,100,,
"1238",B-,=,100,,
"1240",B+,=,100,,
"1241",B+,=,100,,
"1242",B+,=,100,,
"1243",B+,=,100,,
"1244",A,=,70,,
"1244",B+, ,,"1",
"1244",B+p, ,,"1",
"1245",A, ,,"1",
"1246",B-,=,100,,
"1246",B-n, ,,"1",
"1246",2n, ,,"1",
"1247",B-,=,100,,
"1247",B-n, ,,"1",
"1248",B-,=,100,,
"1248",B-n,=,6.3,,
"1248",2n, ,,"1",
"1249",B-,=,100,,
"1249",B-n,<,0.5,,
"1250",B-,=,100,,
"1251",B-,=,100,,
"1252",B-,=,100,,
"1254",B-,=,97.15,,
"1254",B+,=,2.85,,
"1255",2B+, ,,"1",
"1256",B+,=,100,,
"1257",B+,=,100,,
"1258",B+,=,100,,
"1259",B+,=,51,,
"1259",A,=,49,,
"1259",B+p,=,2.4,,
"1259",B+A,<,0.065,,
"1260",A,~,99.5,,
"1260",p,=,0.5,,
"1260",B+, ,,"1",
"1260",B+p, ,,"1",
"1261",A,=,100,,
"1262",B-,=,100,,
"1262",B-n, ,,"1",
"1262",2n, ,,"1",
"1263",B-,=,100,,
"1263",B-n, ,,"1",
"1263",2n, ,,"1",
"1264",B-,=,100,,
"1264",B-n,=,31,,
"1265",B-,=,100,,
"1265",B-n,=,1.3,,
"1266",B-,=,100,,
"1266",B-n,=,0.08,,
"1267",B-,=,100,,
"1268",B-,=,100,,
"1269",B-,=,100,,
"1271",EC,=,100,,
"1272",B+,=,100,,
"1273",B+,=,100,,
"1274",B+,=,100,,
"1275",B+,=,96.1,,
"1275",A,=,3.9,,
"1275",B+p,=,9.4,,
"1275",B+A,<,0.0049,,
"1276",p,=,99.986,,
"1276",A,=,0.014,,
"1277",A,~,100,,
"1277",B+, ,,"1",
"1277",B+p, ,,"1",
"1278",B-,=,100,,
"1278",B-n, ,,"1",
"1278",2n, ,,"1",
"1279",B-,=,100,,
"1279",B-n,=,40,,
"1279",2n, ,,"1",
"1280",B-,=,100,,
"1280",B-n,=,2,,
"1281",B-,=,100,,
"1281",B-n,=,0.04,,
"1282",B-,=,100,,
"1283",B-,=,100,,
"1284",2B-, ,,"1",
"1285",B-,~,100,,
"1285",EC,=,0.3,,
"1287",B+,=,100,,
"1288",EC,=,100,,
"1289",B+,=,100,,
"1290",B+,~,100,,
"1290",A, ,,"1",
"1291",B+,=,83,,
"1291",A,=,17,,
"1291",B+p,=,11,,
"1291",B+A,=,1.1,,
"1292",A,=,64,,
"1292",B+,=,36,,
"1292",B+p, ,,"1",
"1293",B-,=,100,,
"1293",B-n, ,,"1",
"1293",2n, ,,"1",
"1294",B-,=,100,,
"1294",B-n, ,,"1",
"1294",2n, ,,"1",
"1295",B-,=,100,,
"1295",B-n,<,12,,
"1296",B-,=,100,,
"1296",B-n,=,0.85,,
"1297",B-,=,100,,
"1298",B-,=,100,,
"1299",B-,=,100,,
"1300",B-,=,100,,
"1302",EC,=,100,,
"1303",B+,=,100,,
"1304",B+,=,100,,
"1305",B+,=,100,,
"1305",B+p,=,,,"1"
"1306",B+,~,100,,
