isotope_id,mode,relation,intensity,is_allowed_not_observed,is_observed_intensity_unknown
"163",B-,=,100,,
"163",B-n,=,77,,
"163",2n, ,,"1",
"164",B-,=,100,,
"164",B-n,=,2,,
"164",2n, ,,"1",
"165",B-,=,100,,
"165",B-n,=,0.098,,
"166",B-,=,100,,
"168",B+,=,100,,
"169",B+,=,100,,
"169",B+p,~,0.07,,
"170",B+,=,100,,
"170",B+p,=,61,,
"170",2p,=,3,,
"171",2n, ,,"1",
"171",B-,=,0,,
"172",n,=,100,,
"173",B-,=,100,,
"173",B-n,=,12,,
"173",2n,=,3.7,,
"174",B-,=,100,,
"174",B-n,=,0.58,,
"175",B-,=,100,,
"176",B-,=,100,,
"178",B+,=,100,,
"178",B+p,=,0.0013,,
"178",B+A,=,0.00086,,
"179",B+,=,100,,
"179",B+p,=,20.7,,
"180",p,=,100,,
"181",B-,=,100,,
"181",B-n,=,60,,
"181",2n, ,,"1",
"182",B-,=,100,,
"182",B-n,=,28,,
"182",2n,=,4,,
"183",B-,=,100,,
"183",B-n,=,22,,
"183",2n, ,,"1",
"184",B-,=,100,,
"185",B-,=,100,,
"187",B+,=,100,,
"188",B+,=,100,,
"188",B+p,=,46.4,,
"189",p,=,100,,
"190",2p,=,100,,
"191",n, ,,"1",
"192",B-,=,100,,
"192",B-n,=,13,,
"192",2n,=,8.9,,
"193",B-,=,100,,
"193",B-n,=,28.6,,
"193",2n,=,1.24,,
"193",B-A,=,5.5,,
"194",B-,=,100,,
"194",B-n,<,0.06,,
"195",B-,=,100,,
"197",B+,=,100,,
"198",B+,=,100,,
"199",p,=,100,,
"200",2p,=,100,,
"201",B-, ,,"1",
"201",B-n, ,,"1",
"201",2n, ,,"1",
"202",B-,=,100,,
"202",B-n, ,,"1",
"202",2n, ,,"1",
"203",B-,=,100,,
"203",B-n,=,36,,
"203",2n,=,0.73,,
"203",3n,<,0.05,,
"204",B-,=,100,,
"204",B-n,=,6.2,,
"205",B-,=,100,,
"205",B-n,<,1.6,,
"206",B-,=,100,,
"208",B+,=,100,,
"209",B+,=,100,,
"209",B+p,=,2.4,,
"210",B+,=,100,,
"210",B+p,=,68.3,,
"210",2p,=,9,,
"210",B+pA,<,0.38,,
"210",3p,=,0.07,,
"210",B+A,<,0.03,,
"210",2p,<,0.0006,,
"211",3p,=,100,,
"212",B-,=,100,,
"212",B-n, ,,"1",
"212",2n, ,,"1",
"213",B-,=,100,,
"213",B-n,=,26,,
"213",2n,=,7.6,,
"214",B-,=,100,,
"214",B-n,=,5.5,,
"215",B-,=,100,,
"215",B-n,=,0.7,,
"216",B-,=,100,,
"217",B-,=,100,,
"219",B+,=,100,,
"219",B+A,=,0.054,,
"219",B+p,=,0.026,,
"220",B+,=,100,,
"220",B+p,=,35.58,,
"221",p, ,,"1",
"222",n, ,,"1",
"223",B-,=,100,,
"223",B-n,=,47,,
"223",2n,=,13,,
"224",B-,=,100,,
"224",B-n,=,14,,
"224",2n, ,,"1",
"225",B-,=,100,,
"225",B-n,=,8.5,,
"226",B-,=,100,,
"227",B-,=,100,,
"229",B+,=,100,,
"230",B+,=,100,,
"230",B+p,=,38.7,,
"231",p, ,,"1",
"232",p, ,,"1",
"233",B-, ,,"1",
"233",2n, ,,"1",
"233",B-n, ,,"1",
"234",B-,=,100,,
"234",2n,~,50,,
"234",B-n,~,15,,
"235",B-,=,100,,
"235",B-n,=,21,,
"235",2n,<,0.1,,
"236",B-,=,100,,
"236",B-n,=,26,,
"236",2n, ,,"1",
"237",B-,=,100,,
"238",B-,=,100,,
"240",B+,=,100,,
"241",B+,=,100,,
"242",p, ,,"1",
"243",2p, ,,"1",
"244",B-,=,100,,
"244",B-n, ,,"1",
"244",2n, ,,"1",
"245",B-,=,100,,
"245",B-n,=,52,,
"245",2n, ,,"1",
"246",B-,=,100,,
"246",B-n,=,35.8,,
"246",2n, ,,"1",
"247",B-,=,100,,
"247",B-n,<,5,,
"248",B-,=,100,,
"249",B-,=,100,,
"251",B+,=,100,,
"252",B+,=,100,,
"252",B+p,=,0.37,,
"253",B+,=,100,,
"253",B+p,=,95.8,,
"253",2p,=,4.2,,
"254",p, ,,"1",
"255",n, ,,"1",
"256",B-,=,100,,
"256",B-n,=,48,,
"256",2n, ,,"1",
"257",B-,=,100,,
"257",B-n,<,31,,
"257",2n, ,,"1",
"258",B-,=,100,,
"258",B-n,=,12,,
"259",B-,=,100,,
"259",B-n, ,,"1",
"261",B-,=,98.1,,
"261",B+,=,1.9,,
"262",2B+, ,,"1",
"263",B+,=,100,,
"263",B+p,=,0.048,,
"263",B+A,=,0.0034,,
"264",B+,=,100,,
"264",B+p,=,51.2,,
"265",p, ,,"1",
"266",B-, ,,"1",
"266",B-n, ,,"1",
"266",2n, ,,"1",
"267",B-, ,,"1",
"267",B-n, ,,"1",
"267",2n, ,,"1",
"268",B-,=,100,,
"268",B-n,=,52,,
"268",2n,>,1,,
"269",B-,=,100,,
"269",B-n,=,17,,
"269",2n, ,,"1",
"270",B-,=,100,,
"270",B-n, ,,"1",
"271",B-,=,100,,
"273",EC,=,100,,
"274",B+,=,100,,
"275",B+,=,100,,
"275",B+p,=,76.8,,
"276",p, ,,"1",
"277",p, ,,"1",
"278",n, ,,"1",
"279",B-,=,100,,
"279",B-n, ,,"1",
"279",2n, ,,"1",
"280",B-,=,100,,
"280",B-n,=,84,,
"280",2n, ,,"1",
"281",B-,=,100,,
"281",B-n,=,25,,
"282",B-,=,100,,
"282",B-n,=,12,,
"283",B-,=,100,,
"284",B-,=,100,,
"286",B+,=,100,,
"287",B+,=,100,,
"288",p, ,,"1",
"289",2p, ,,"1",
"290",B-, ,,"1",
"290",B-n, ,,"1",
"290",2n, ,,"1",
"291",n, ,,"1",
"291",B-, ,,"1",
"292",B-,=,100,,
"292",B-n,=,97,,
"292",2n, ,,"1",
"293",B-,=,100,,
"293",B-n,=,33,,
"293",2n, ,,"1",
"294",B-,=,100,,
"294",B-n,=,26,,
"295",B-,=,100,,
"296",B-,=,100,,
"297",B-,=,100,,
"299",B+,=,100,,
"300",p,=,100,,
"301",B+,=,100,,
"301",B+p,=,93.7,,
"301",2p,=,,,"1"
"302",p, ,,"1",
"303",B-, ,,"1",
"303",B-n, ,,"1",
"303",2n, ,,"1",
"304",B-, ,,"1",
"304",B-n, ,,"1",
"304",2n, ,,"1",
"305",B-,=,100,,
"305",B-n,=,38,,
"305",2n, ,,"1",
"306",B-,=,100,,
"306",B-n,=,15.8,,
"306",2n, ,,"1",
"307",B-,=,100,,
"308",B-,=,100,,
"310",B-,=,89.28,,
"310",B+,=,10.72,,
"311",2B+, ,,"1",
"312",B+,=,100,,
"312",B+p,=,0.44,,
"312",B+A,=,0.017,,
"313",B+,=,100,,
"313",B+p,=,95.8,,
"314",p, ,,"1",
"315",B-, ,,"1",
"315",B-n, ,,"1",
"316",B-, ,,"1",
"316",B-n, ,,"1",
"316",2n, ,,"1",
"317",B-,=,100,,
"317",B-n,>,55,,
"317",2n, ,,"1",
"318",B-,=,100,,
"318",B-n,=,30,,
"318",2n, ,,"1",
"319",B-,=,100,,
"319",B-n, ,,"1",
"320",B-,=,100,,
"321",B-,=,100,,
"323",EC,=,100,,
"324",B+,=,100,,
"325",B+,=,100,,
"325",B+p,=,91.1,,
"326",p, ,,"1",
"327",p, ,,"1",
"328",B-, ,,"1",
"328",B-n, ,,"1",
"328",2n, ,,"1",
"329",B-,=,100,,
"329",B-n, ,,"1",
"329",2n, ,,"1",
"330",B-,=,100,,
"330",B-n,=,50,,
"330",2n, ,,"1",
"331",B-,=,100,,
"331",B-n,<,1,,
"332",B-,=,100,,
"332",B-n, ,,"1",
"333",B-,=,100,,
"334",B-,=,100,,
"336",B+,=,100,,
"337",B+,=,100,,
"338",p, ,,"1",
"339",B+,~,100,,
"339",B+p,=,94.4,,
"339",2p, ,,"1",
"340",B-, ,,"1",
"340",B-n, ,,"1",
"340",2n, ,,"1",
"341",B-, ,,"1",
"341",B-n, ,,"1",
"341",2n, ,,"1",
"342",B-,=,100,,
"342",B-n,=,100,,
"342",2n, ,,"1",
"343",B-,=,100,,
"343",B-n,=,40,,
"344",B-,=,100,,
"344",B-n, ,,"1",
"345",B-,=,100,,
"346",B-,=,100,,
"348",B+,=,100,,
"349",B+,=,100,,
"349",B+p, ,,"1",
"350",B+,=,100,,
"350",B+p,<,2.5,,
"351",B+,=,100,,
"351",B+p,=,79.3,,
"351",2p,=,11.6,,
"351",3p,=,0.13,,
"351",B+A, ,,"1",
"352",p, ,,"1",
"353",B-, ,,"1",
"353",B-n, ,,"1",
"353",2n, ,,"1",
"354",B-,=,100,,
"354",B-n, ,,"1",
"354",2n, ,,"1",
"355",B-,=,100,,
"355",B-n,=,18,,
"356",B-,=,100,,
"356",B-n,<,8,,
"357",B-,=,100,,
"358",B-,=,100,,
"360",B+,=,100,,
"361",EC,=,100,,
"362",B+,=,100,,
"362",B+A,=,,,"1"
"362",B+p, ,,"1",
"363",B+,=,100,,
"363",B+p,=,12,,
"364",p, ,,"1",
"365",B-, ,,"1",
"365",B-n, ,,"1",
"365",2n, ,,"1",
"366",B-, ,,"1",
"366",B-n, ,,"1",
"366",2n, ,,"1",
"367",B-,=,100,,
"367",B-n,~,54,,
"367",2n, ,,"1",
"368",B-,=,100,,
"368",B-n,=,24,,
"369",B-,=,100,,
"370",B-,=,100,,
"371",B-,=,100,,
"373",B+,=,100,,
"374",B+,=,100,,
"375",B+,=,100,,
"375",B+p,=,34.4,,
"376",p, ,,"1",
"377",2p,=,70,,
"377",B+,=,30,,
"377",B+p,=,18.9,,
"377",2p,=,7.8,,
"378",B-, ,,"1",
"378",B-n, ,,"1",
"378",2n, ,,"1",
"379",B-,=,100,,
"379",B-n, ,,"1",
"379",2n, ,,"1",
"380",B-,=,100,,
"380",B-n,=,60,,
"380",2n, ,,"1",
"381",B-,=,100,,
"382",B-,=,100,,
"383",2B-, ,,"1",
"384",B-,=,100,,
"386",B+,=,100,,
"387",B+,=,100,,
"388",B+,=,100,,
"388",B+p,=,57,,
"388",2p,~,18,,
"388",B+A, ,,"1",
"389",B+,=,100,,
"389",B+p,=,78.7,,
"389",2p,=,,,"1"
"390",B-, ,,"1",
"390",B-n, ,,"1",
"390",2n, ,,"1",
"391",B-, ,,"1",
"391",B-n, ,,"1",
"391",2n, ,,"1",
"392",B-,=,100,,
"392",B-n,<,3,,
"392",2n, ,,"1",
"393",B-,=,100,,
"393",B-n,<,0.2,,
"394",B-,=,100,,
"395",B-,=,100,,
"396",B-,=,100,,
"398",B+,=,100,,
"399",B+,=,100,,
"400",B+,=,100,,
"400",B+p,<,1.7,,
"401",B+,=,100,,
"401",B+p,=,88.4,,
"402",p, ,,"1",
"403",B-, ,,"1",
"403",B-n, ,,"1",
"403",2n, ,,"1",
"404",B-, ,,"1",
"404",B-n, ,,"1",
"404",2n, ,,"1",
"405",B-,=,100,,
"405",B-n,=,38,,
"406",B-,=,100,,
"406",B-n,=,1.14,,
"407",2B-,=,,,"1"
"407",B-, ,,"1",
"408",B-,=,100,,
"410",B+,=,100,,
"411",B+,=,100,,
"412",B+,=,100,,
"412",B+p,=,0.28,,
"412",B+A,=,6,,
"413",B+,=,100,,
"413",B+p,=,15.3,,
"414",p, ,,"1",
"415",2p,=,70,,
"415",B+,=,30,,
"415",B+p, ,,"1",
"416",B-, ,,"1",
"416",B-n, ,,"1",
"416",2n, ,,"1",
"417",B-, ,,"1",
"417",B-n, ,,"1",
"417",2n, ,,"1",
"418",B-,=,100,,
"418",B-n,=,29,,
"418",2n, ,,"1",
"419",B-,=,100,,
"419",B-n,=,86,,
"420",B-,=,100,,
"421",B-,=,100,,
"423",EC,=,100,,
"424",B+,=,100,,
"425",B+,=,100,,
"426",B+,=,100,,
"426",B+p,=,56.7,,
"427",p, ,,"1",
"428",B+,=,100,,
"428",B+p,=,83.4,,
"429",B-, ,,"1",
"429",B-n, ,,"1",
"429",2n, ,,"1",
"430",B-,=,100,,
"430",B-n,=,37,,
"430",2n, ,,"1",
"431",B-,=,100,,
"431",B-n,=,28.6,,
"431",2n, ,,"1",
"432",B-,=,100,,
"433",B-,=,100,,
"435",B+,~,100,,
"435",B-, ,,"1",
"436",2B+, ,,"1",
"437",B+,=,100,,
"438",B+,=,100,,
"438",B+p,~,0,,
"439",B+,=,100,,
"439",B+p,=,70.5,,
"439",2p, ,,"1",
"440",B+,=,100,,
"440",B+p,=,73,,
"440",2p,=,14,,
"441",B-, ,,"1",
"441",B-n, ,,"1",
"441",2n, ,,"1",
"442",B-, ,,"1",
"442",B-n, ,,"1",
"442",2n, ,,"1",
"443",B-,=,100,,
"443",B-n,=,65,,
"443",2n, ,,"1",
"444",B-,=,100,,
"444",B-n, ,,"1",
"445",B-,=,100,,
"445",B-n, ,,"1",
"446",B-,=,100,,
"448",EC,=,100,,
"449",B+,=,100,,
"450",B+,=,100,,
"451",B+,=,100,,
"451",B+p,<,3.8,,
"452",B+,=,100,,
"452",B+p,=,87.2,,
"452",2p,=,0.5,,
"453",B-, ,,"1",
"453",B-n, ,,"1",
"453",2n, ,,"1",
"454",B-, ,,"1",
"454",B-n, ,,"1",
"454",2n, ,,"1",
"455",B-,=,100,,
"455",B-n,=,72.2,,
"455",2n,=,2.3,,
"456",B-,=,100,,
"456",B-n,<,2,,
"457",B-,=,100,,
"457",B-n, ,,"1",
"458",B-,=,100,,
"459",B-,=,100,,
"461",B+,=,100,,
"462",B+,=,100,,
"463",B+,=,100,,
"463",B+p, ,,"1",
"464",B+,=,100,,
"464",B+p,=,31.1,,
"465",p, ,,"1",
"466",B-, ,,"1",
"466",B-n, ,,"1",
"466",2n, ,,"1",
"467",B-,=,100,,
"467",B-n,~,64,,
"467",2n,~,10,,
"468",B-,=,100,,
"468",B-n,=,40,,
"469",B-,=,100,,
"469",B-n, ,,"1",
"470",B-,=,100,,
"471",B-,=,100,,
"473",EC,=,100,,
"474",B+,=,100,,
"475",B+,=,100,,
"476",B+,=,100,,
