atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"83",Bi XXV,"24",Pr,[Kr].4d10.4f13,4f13,2F*<7/2>,4f12,750,40,L582,"0","1"
"83",Bi XXVI,"25",Ce,[Kr].4d10.4f12,4f12,,4f11 4I*<15/2>,810,40,L582,"0","1"
"83",Bi XXVII,"26",La,[Kr].4d10.4f11,4f11,4I*<15/2>,4f10 5I<8>,870,50,L582,"0","1"
"83",Bi XXVIII,"27",Ba,[Kr].4d10.4f10,4f10,5I<8>,4f9 6H*<15/2>,930,50,L582,"0","1"
"83",Bi XXIX,"28",Cs,[Kr].4d10.4f9,4f9,6H*<15/2>,4f8 7F<6>,990,50,L582,"0","1"
"83",Bi XXX,"29",Xe,[Kr].4d10.4f8,4f8,7F<6>,4f7 8S*<7/2>,1060,50,L582,"0","1"
"83",Bi XXXI,"30",I,[Kr].4d10.4f7,4f7,8S*<7/2>,4f6 7F<0>,1120,60,L582,"0","1"
"83",Bi XXXII,"31",Te,[Kr].4d10.4f6,4f6,7F0,4f5 6H*<5/2>,1180,60,L582,"0","1"
"83",Bi XXXIII,"32",Sb,[Kr].4d10.4f5,4f5,6H*<5/2>,4f4 5I<4>,1250,60,L582,"0","1"
"83",Bi XXXIV,"33",Sn,[Kr].4d10.4f4,4f4,5I<4>,4f3 4I*<9/2>,1310,70,L582,"0","1"
"83",Bi XXXV,"34",In,[Kr].4d10.4f3,4f3,4I*<9/2>,4f2 3H<4>,1380,70,L582,"0","1"
"83",Bi XXXVI,"35",Cd,[Kr].4d10.4f2,4f2,3H<4>,4f 2F*<5/2>,1440,70,L582,"0","1"
"83",Bi XXXVII,"36",Ag,[Kr].4d10.4f,4f,2F*<5/2>,4d10 1S<0>,1500,70,L582,"0","1"
"83",Bi XXXVIII,"37",Pd,[Kr].4d10,"4d10",1S0,4d9 2D<5/2>,1784,4,L8672c99,"0","1"
"83",Bi XXXIX,"38",Rh,[Kr].4d9,"4d9",2D<5/2>,4d8 3F<4>,1840,4,L8672c99,"0","1"
"83",Bi XL,"39",Ru,[Kr].4d8,"4d8",3F<4>,4d7 4F<9/2>,1902,4,L8672c99,"0","1"
"83",Bi XLI,"40",Tc,[Kr].4d7,"4d7",4F<9/2>,4d6 5D<4>,1967,4,L8672c99,"0","1"
"83",Bi XLII,"41",Mo,[Kr].4d6,"4d6",5D<4>,4d5 <5/2>,2029,4,L8672c99,"0","1"
"83",Bi XLIII,"42",Nb,[Kr].4d5,"4d5",<5/2>,4d4 5D<0>,2090,4,L8672c99,"0","1"
"83",Bi XLIV,"43",Zr,[Kr].4d4,"4d4","5D0",4d3 4F<3/2>,2190,4,L8672c99,"0","1"
"83",Bi XLV,"44",Y,[Kr].4d3,"4d3",4F<3/2>,4d2 3F<2>,2253,4,L8672c99,"0","1"
"83",Bi XLVI,"45",Sr,[Kr].4d2,"4d2",3F<2>,4d 2D<3/2>,2321,4,L8672c99,"0","1"
"83",Bi XLVII,"46",Rb,[Kr].4d,4d,2D<3/2>,4p6 1S<0>,2385,4,L8672c99,"0","1"
"83",Bi XLVIII,"47",Kr,[Ar].3d10.4s2.4p6,4p6,1S0,4p5 2P*<3/2>,2641,4,L8672c99,"0","1"
"83",Bi XLIX,"48",Br,[Ar].3d10.4s2.4p5,4p5,2P*<3/2>,4p4 3P<2>,2703,4,L8672c99,"0","1"
"83",Bi L,"49",Se,[Ar].3d10.4s2.4p4,4p4,3P<2>,4p3*<3/2>,2771,4,L8672c99,"0","1"
"83",Bi LI,"50",As,[Ar].3d10.4s2.4p3,4p3,*<3/2>,4p2 3P<0>,2835,4,L8672c99,"0","1"
"83",Bi LII,"51",Ge,[Ar].3d10.4s2.4p2,4p2,3P0,4p 2P*<1/2>,3078,4,L8672c99,"0","1"
"83",Bi LIII,"52",Ga,[Ar].3d10.4s2.4p,4p,2P*<1/2>,4s2 1S<0>,3151,4,L8672c99,"0","1"
"83",Bi LIV,"53",Zn,[Ar].3d10.4s2,4s2,1S0,4s 2S<1/2>,3329,5,L8672c99,"0","1"
"83",Bi LV,"54",Cu,[Ar].3d10.4s,4s,2S<1/2>,3d10 1S<0>,3401.8,2.4,L10278,"1","0"
"83",Bi LVI,"55",Ni,[Ar].3d10,"3d10",1S0,3d9 2D<5/2>,5599,5,L8672c99,"0","1"
"83",Bi LVII,"56",Co,[Ar].3d9,"3d9",2D<5/2>,3d8 3F<4>,5740,5,L8672c99,"0","1"
"83",Bi LVIII,"57",Fe,[Ar].3d8,"3d8",3F<4>,3d7 4F<9/2>,5892,6,L8672c99,"0","1"
"83",Bi LIX,"58",Mn,[Ar].3d7,"3d7",4F<9/2>,3d6 <4>,6054,6,L8672c99,"0","1"
"83",Bi LX,"59",Cr,[Ar].3d6,"3d6",<4>,3d5 <5/2>,6208,7,L8672c99,"0","1"
"83",Bi LXI,"60",V,[Ar].3d5,"3d5",<5/2>,3d4 5D<0>,6358,10,L8672c99,"0","1"
"83",Bi LXII,"61",Ti,[Ar].3d4,"3d4","5D0",3d3 4F<3/2>,6648,12,L8672c99,"0","1"
"83",Bi LXIII,"62",Sc,[Ar].3d3,"3d3",4F<3/2>,3d2 3F<2>,6804,15,L8672c99,"0","1"
"83",Bi LXIV,"63",Ca,[Ar].3d2,"3d2",3F<2>,3d 2D<3/2>,6977,19,L8672c99,"0","1"
"83",Bi LXV,"64",K,[Ar].3d,3d,2D<3/2>,3p6 1S<0>,7137,24,L8672c99,"0","1"
