atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"1",H I,"0",H,1s,1s,2S<1/2>,,13.598434599702,1.2e-11,HDEL,"0","1"
"2",He I,"0",He,1s2,1s2,1S0,1s 2S<1/2>,24.587389011,2.5e-08,L17714,"0","0"
"2",He II,"1",H,1s,1s,2S<1/2>,,54.4177655282,1e-09,L19200,"0","1"
"3",Li I,"0",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,5.391714996,2.2e-08,L12261,"0","0"
"3",Li II,"1",He,1s2,1s2,1S0,1s 2S<1/2>,75.640097,1.2e-06,L10054,"0","1"
"3",Li III,"2",H,1s,1s,2S<1/2>,,122.45435913,1.1e-07,L19200,"0","1"
"4",Be I,"0",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,9.322699,7e-06,L5964,"0","0"
"4",Be II,"1",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,18.21115,4e-05,L12158,"0","0"
"4",Be III,"2",He,1s2,1s2,1S0,1s 2S<1/2>,153.896205,4e-06,L10054,"0","1"
"4",Be IV,"3",H,1s,1s,2S<1/2>,,217.71858459,1e-07,L19200,"0","1"
"5",B I,"0",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,8.298019,3e-06,L12312,"0","0"
"5",B II,"1",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,25.15483,5e-05,L12120,"0","0"
"5",B III,"2",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,37.93059,7e-05,L12547,"0","0"
"5",B IV,"3",He,1s2,1s2,1S0,1s 2S<1/2>,259.374379,9e-06,L10054,"0","1"
"5",B V,"4",H,1s,1s,2S<1/2>,,340.2260225,6e-07,L19200,"0","1"
"6",C I,"0",C,1s2.2s2.2p2,2s2.2p2,3P0,2s2.2p 2P*<1/2>,11.260288,1.1e-06,L20057,"0","0"
"6",C II,"1",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,24.383143,1.2e-05,L22145,"0","0"
"6",C III,"2",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,47.88778,0.00025,L876c191,"0","0"
"6",C IV,"3",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,64.49352,0.00019,L11667,"0","0"
"6",C V,"4",He,1s2,1s2,1S0,1s 2S<1/2>,392.09056,4e-05,L21139,"0","1"
"6",C VI,"5",H,1s,1s,2S<1/2>,,489.99320779,2.2e-07,L19200,"0","1"
"7",N I,"0",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,14.53413,4e-05,L1411,"0","0"
"7",N II,"1",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,29.60125,9e-05,L11770,"1","0"
"7",N III,"2",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,47.4453,0.0025,L11770,"1","0"
"7",N IV,"3",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,77.4735,0.0004,"L7288,L876","0","0"
"7",N V,"4",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,97.8901,0.0004,L4829,"0","0"
"7",N VI,"5",He,1s2,1s2,1S0,1s 2S<1/2>,552.06741,8e-05,L21139,"0","1"
"7",N VII,"6",H,1s,1s,2S<1/2>,,667.0461377,7e-07,L19200,"0","1"
"8",O I,"0",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,13.618055,7e-06,"L74,L3760","0","0"
"8",O II,"1",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,35.12112,6e-05,"L11267,L10621","0","0"
"8",O III,"2",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,54.93554,0.00012,L11770,"1","0"
"8",O IV,"3",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,77.4135,0.00025,L648,"0","0"
"8",O V,"4",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,113.899,0.0005,L7288,"0","0"
"8",O VI,"5",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,138.1189,0.0021,L4713,"1","0"
"8",O VII,"6",He,1s2,1s2,1S0,1s 2S<1/2>,739.32697,0.00015,L21139,"0","1"
"8",O VIII,"7",H,1s,1s,2S<1/2>,,871.4099138,1.2e-06,L19200,"0","1"
"9",F I,"0",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,17.42282,5e-05,"L7481,L526","0","0"
"9",F II,"1",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,34.97081,0.00012,L369,"0","0"
"9",F III,"2",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,62.70798,0.00025,L11770,"1","0"
"9",F IV,"3",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,87.175,0.017,L11770,"1","0"
"9",F V,"4",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,114.249,0.006,L11770,"1","0"
"9",F VI,"5",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,157.16311,0.00025,L6491,"0","0"
"9",F VII,"6",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,185.1868,0.0006,L6335,"0","0"
"9",F VIII,"7",He,1s2,1s2,1S0,1s 2S<1/2>,953.8983,0.0003,L21139,"0","1"
"9",F IX,"8",H,1s,1s,2S<1/2>,,1103.1175302,1.9e-06,L19200,"0","1"
"10",Ne I,"0",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,21.564541,7e-06,"L8826,L1407","0","0"
"10",Ne II,"1",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,40.96297,4e-05,L1406,"0","0"
"10",Ne III,"2",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,63.4233,0.0003,L9091,"0","0"
"10",Ne IV,"3",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2s2.2p2 3P<0>,97.19,0.0025,L11782,"1","0"
"10",Ne V,"4",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,126.247,0.012,L11744,"0","0"
"10",Ne VI,"5",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,157.934,0.005,L9340,"0","0"
"10",Ne VII,"6",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,207.271,0.012,L9089,"0","0"
"10",Ne VIII,"7",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,239.097,0.0019,L9090,"1","0"
"10",Ne IX,"8",He,1s2,1s2,1S0,1s 2S<1/2>,1195.8082,0.0004,L21139,"0","1"
"10",Ne X,"9",H,1s,1s,2S<1/2>,,1362.199256,4e-06,L19200,"0","1"
"11",Na I,"0",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,5.13907696,2.5e-07,"L10921,L9648","0","0"
"11",Na II,"1",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,47.28636,0.00025,L914,"0","0"
"11",Na III,"2",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,71.62,0.0012,"L5793,L2720","1","0"
"11",Na IV,"3",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,98.936,0.012,L11770,"1","0"
"11",Na V,"4",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,138.404,0.012,L7482,"0","0"
"11",Na VI,"5",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,172.23,0.05,L11770,"1","0"
"11",Na VII,"6",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,208.504,0.012,L11770,"1","0"
"11",Na VIII,"7",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,264.192,0.022,L11770,"1","0"
"11",Na IX,"8",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,299.856,0.007,L16264c99,"0","1"
"11",Na X,"9",He,1s2,1s2,1S0,1s 2S<1/2>,1465.0992,0.0007,L21139,"0","1"
"11",Na XI,"10",H,1s,1s,2S<1/2>,,1648.702285,5e-06,L19200,"0","1"
"12",Mg I,"0",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,7.646236,4e-06,"L10635,L6969","0","0"
"12",Mg II,"1",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,15.035271,6e-06,L10635,"0","0"
"12",Mg III,"2",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,80.1436,0.0006,"L4995,L1434","0","0"
"12",Mg IV,"3",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,109.2654,0.0012,"L4995,L2720","1","0"
"12",Mg V,"4",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,141.33,0.03,L11770,"1","0"
"12",Mg VI,"5",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,186.76,0.06,L10635,"1","0"
"12",Mg VII,"6",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,225.02,0.06,L11770,"1","0"
"12",Mg VIII,"7",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,265.924,0.019,L11770,"1","0"
"12",Mg IX,"8",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,327.99,0.04,L11770,"1","0"
"12",Mg X,"9",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,367.489,0.007,L16264c99,"0","1"
"12",Mg XI,"10",He,1s2,1s2,1S0,1s 2S<1/2>,1761.8049,0.001,L21139,"0","1"
"12",Mg XII,"11",H,1s,1s,2S<1/2>,,1962.663889,7e-06,L19200,"0","1"
"13",Al I,"0",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,5.985769,3e-06,"L7215,L10321","0","0"
"13",Al II,"1",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,18.82855,5e-05,L7215,"0","0"
"13",Al III,"2",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,28.447642,2.5e-05,"L4714,L277","0","0"
"13",Al IV,"3",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,119.9924,0.0019,"L4714,L2829","0","0"
"13",Al V,"4",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,153.8252,0.0025,"L4714,L3565","1","0"
"13",Al VI,"5",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,190.49,0.05,L7215,"1","0"
"13",Al VII,"6",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,241.76,0.09,L7215,"1","0"
"13",Al VIII,"7",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,284.64,0.07,L11770,"1","0"
"13",Al IX,"8",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,330.21,0.04,L11770,"1","0"
"13",Al X,"9",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,398.65,0.06,L11770,"1","0"
"13",Al XI,"10",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,442.005,0.007,L16264c99,"0","1"
"13",Al XII,"11",He,1s2,1s2,1S0,1s 2S<1/2>,2085.97693,0.00016,L21139,"0","1"
"13",Al XIII,"12",H,1s,1s,2S<1/2>,,2304.140359,1.2e-05,L19200,"0","1"
"14",Si I,"0",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,8.15168,3e-05,L5815,"0","0"
"14",Si II,"1",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,16.34585,4e-05,L5815,"0","0"
"14",Si III,"2",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,33.493,9e-05,L5815,"0","0"
"14",Si IV,"3",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,45.14179,7e-05,"L5815,L6098","0","0"
"14",Si V,"4",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,166.767,0.003,L3934,"0","0"
"14",Si VI,"5",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,205.279,0.005,c192,"1","0"
"14",Si VII,"6",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,246.57,0.05,c193,"1","0"
"14",Si VIII,"7",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,303.59,0.05,c193,"1","0"
"14",Si IX,"8",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,351.28,0.06,c193,"1","0"
"14",Si X,"9",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,401.38,0.04,L11770,"1","0"
"14",Si XI,"10",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,476.273,0.019,c192,"1","0"
"14",Si XII,"11",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,523.415,0.007,L16264c99,"0","1"
"14",Si XIII,"12",He,1s2,1s2,1S0,1s 2S<1/2>,2437.65805,0.00017,L21139,"0","1"
"14",Si XIV,"13",H,1s,1s,2S<1/2>,,2673.177958,1.7e-05,L19200,"0","1"
"15",P I,"0",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,10.486686,1.5e-05,L5148,"0","0"
"15",P II,"1",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,19.76949,4e-05,L11770,"1","0"
"15",P III,"2",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,30.20264,9e-05,L7147,"0","0"
"15",P IV,"3",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,51.44387,0.00012,L7147,"0","0"
"15",P V,"4",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,65.02511,0.00012,"L7147,L2613","0","0"
"15",P VI,"5",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,220.43,0.005,L11770,"1","0"
"15",P VII,"6",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,263.57,0.06,L7147,"1","0"
"15",P VIII,"7",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,309.6,0.1,L7147,"1","0"
"15",P IX,"8",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,372.31,0.21,L11770,"1","0"
"15",P X,"9",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,424.4,0.09,L11770,"1","0"
"15",P XI,"10",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,479.44,0.05,L11770,"1","0"
"15",P XII,"11",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,560.62,0.1,L11770,"1","0"
"15",P XIII,"12",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,611.741,0.007,L16264c99,"0","1"
"15",P XIV,"13",He,1s2,1s2,1S0,1s 2S<1/2>,2816.90868,0.00019,L21139,"0","1"
"15",P XV,"14",H,1s,1s,2S<1/2>,,3069.842145,1.4e-05,L19200,"0","1"
"16",S I,"0",S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,10.36001,0.00012,L7237,"0","0"
"16",S II,"1",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,23.33788,0.00025,"L7237,L5883","0","0"
"16",S III,"2",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,34.86,0.04,L11770,"1","0"
"16",S IV,"3",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,47.222,0.012,L7237,"1","0"
"16",S V,"4",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,72.5945,0.0004,L7237,"0","0"
"16",S VI,"5",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,88.0529,0.0004,"L7237,L4882","0","0"
"16",S VII,"6",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,280.954,0.007,L9896,"0","0"
"16",S VIII,"7",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,328.794,0.007,L11242,"0","0"
"16",S IX,"8",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,379.84,0.21,L11770,"1","0"
"16",S X,"9",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,447.7,0.3,L11770,"1","0"
"16",S XI,"10",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,504.55,0.12,L11770,"1","0"
"16",S XII,"11",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,564.41,0.05,L11770,"1","0"
"16",S XIII,"12",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,651.96,0.12,L11770,"1","0"
"16",S XIV,"13",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,706.994,0.007,L16264c99,"0","1"
"16",S XV,"14",He,1s2,1s2,1S0,1s 2S<1/2>,3223.78057,0.0002,L21139,"0","1"
"16",S XVI,"15",H,1s,1s,2S<1/2>,,3494.188518,1.9e-05,L19200,"0","1"
"17",Cl I,"0",Cl,[Ne].3s2.3p5,3s2.3p5,2P*<3/2>,3p4 3P<2>,12.967633,1.6e-05,L19191,"0","0"
"17",Cl II,"1",S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,23.81364,0.00012,L1617,"0","0"
"17",Cl III,"2",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,39.8,0.11,L11770,"1","0"
"17",Cl IV,"3",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,53.24,0.12,L11770,"1","0"
"17",Cl V,"4",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,67.68,0.1,L11770,"1","0"
"17",Cl VI,"5",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,96.94,0.04,L11770,"1","0"
"17",Cl VII,"6",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,114.2013,0.0006,L6356,"0","0"
"17",Cl VIII,"7",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,348.306,0.007,L6972,"0","0"
"17",Cl IX,"8",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,400.851,0.012,L9369,"0","0"
"17",Cl X,"9",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,456.7,0.4,L11770,"1","0"
"17",Cl XI,"10",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,530,0.4,L11770,"1","0"
"17",Cl XII,"11",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,591.58,0.19,L11770,"1","0"
"17",Cl XIII,"12",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,656.3,0.12,L11770,"1","0"
"17",Cl XIV,"13",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,750.23,0.19,L11770,"1","0"
"17",Cl XV,"14",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,809.198,0.007,L16264c99,"0","1"
"17",Cl XVI,"15",He,1s2,1s2,1S0,1s 2S<1/2>,3658.34366,0.00022,L21139,"0","1"
"17",Cl XVII,"16",H,1s,1s,2S<1/2>,,3946.29179,7e-05,L19200,"0","1"
"18",Ar I,"0",Ar,[Ne].3s2.3p6,3s2.3p6,1S0,3p5 2P*<3/2>,15.7596119,5e-07,L9217,"0","0"
"18",Ar II,"1",Cl,[Ne].3s2.3p5,3s2.3p5,2P*<3/2>,3p4 3P<2>,27.62967,0.00012,L8844,"0","0"
"18",Ar III,"2",S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,40.735,0.012,L8114,"1","0"
"18",Ar IV,"3",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,59.58,0.18,L11770,"1","0"
"18",Ar V,"4",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,74.84,0.17,L11770,"1","0"
"18",Ar VI,"5",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,91.29,0.01,L12277,"0","0"
"18",Ar VII,"6",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,124.41,0.06,L11770,"1","0"
"18",Ar VIII,"7",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,143.4567,0.0012,L4344,"1","0"
"18",Ar IX,"8",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,422.6,0.06,L11770,"1","0"
"18",Ar X,"9",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,479.76,0.12,L11242c99,"1","0"
"18",Ar XI,"10",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,540.4,0.6,L11770,"1","0"
"18",Ar XII,"11",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,619,0.4,L11770,"1","0"
"18",Ar XIII,"12",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,685.5,0.3,L11770,"1","0"
"18",Ar XIV,"13",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,755.13,0.22,L11770,"1","0"
"18",Ar XV,"14",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,855.5,0.3,L11770,"1","0"
"18",Ar XVI,"15",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,918.375,0.007,L16264c99,"0","1"
"18",Ar XVII,"16",He,1s2,1s2,1S0,1s 2S<1/2>,4120.66559,0.00022,L21139,"0","1"
"18",Ar XVIII,"17",H,1s,1s,2S<1/2>,,4426.22407,4e-05,L19200,"0","1"
"19",K I,"0",K,[Ar].4s,3p6.4s,2S<1/2>,3p6 1S<0>,4.34066373,9e-08,"L5451,L5783,L7185","0","0"
"19",K II,"1",Ar,[Ne].3s2.3p6,3p6,1S0,3p5 2P*<3/2>,31.625,0.00019,L12188,"0","0"
"19",K III,"2",Cl,[Ne].3s2.3p5,3s2.3p5,2P*<3/2>,3p4 3P<2>,45.8031,0.0017,L11770,"1","0"
"19",K IV,"3",S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,60.917,0.019,L11770,"1","0"
"19",K V,"4",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,82.66,0.16,L241,"1","0"
"19",K VI,"5",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,99.44,0.2,L7185,"1","0"
"19",K VII,"6",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,117.56,0.11,L7185,"0","0"
"19",K VIII,"7",Mg,[Ne].3s2,3s2,1S0,3s 2S<1/2>,154.87,0.05,L12392,"1","0"
"19",K IX,"8",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,175.8174,0.0025,L4344,"1","0"
"19",K X,"9",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,503.67,0.07,L11770,"1","0"
"19",K XI,"10",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,565.6,0.7,L11770,"1","0"
"19",K XII,"11",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,631.1,0.9,L11770,"1","0"
"19",K XIII,"12",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,714.7,0.5,L11770,"1","0"
"19",K XIV,"13",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,786.3,0.3,L11770,"1","0"
"19",K XV,"14",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,860.92,0.25,L11770,"1","0"
"19",K XVI,"15",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,967.7,0.3,L11770,"1","0"
"19",K XVII,"16",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,1034.542,0.007,L16264c99,"0","1"
"19",K XVIII,"17",He,1s2,1s2,1S0,1s 2S<1/2>,4610.80714,0.00025,L21139,"0","1"
"19",K XIX,"18",H,1s,1s,2S<1/2>,,4934.04979,5e-05,L19200,"0","1"
"20",Ca I,"0",Ca,[Ar].4s2,3p6.4s2,1S0,4s 2S<1/2>,6.11315547,2.5e-07,L8900,"0","0"
"20",Ca II,"1",K,[Ar].4s,3p6.4s,2S<1/2>,3p6 1S<0>,11.871719,4e-06,"L7185,L7323","0","0"
"20",Ca III,"2",Ar,[Ne].3s2.3p6,3s2.3p6,1S0,3p5 2P*<3/2>,50.91316,0.00025,L1405,"0","0"
"20",Ca IV,"3",Cl,[Ne].3s2.3p5,3s2.3p5,2P*<3/2>,3p4 3P<2>,67.2732,0.0021,L11770,"1","0"
"20",Ca V,"4",S,[Ne].3s2.3p4,3s2.3p4,3P<2>,3p3 4S*<3/2>,84.34,0.08,L11770,"1","0"
"20",Ca VI,"5",P,[Ne].3s2.3p3,3s2.3p3,4S*<3/2>,3p2 3P<0>,108.78,0.25,L7185,"1","0"
"20",Ca VII,"6",Si,[Ne].3s2.3p2,3s2.3p2,3P0,3p 2P*<1/2>,127.21,0.25,L7185,"1","0"
"20",Ca VIII,"7",Al,[Ne].3s2.3p,3s2.3p,2P*<1/2>,3s2 1S<0>,147.24,0.12,L7185,"0","0"
"20",Ca IX,"8",Mg,[Ne].3s2,2p6.3s2,1S0,3s 2S<1/2>,188.54,0.06,L7185,"1","0"
"20",Ca X,"9",Na,[Ne].3s,2p6.3s,2S<1/2>,2p6 1S<0>,211.275,0.004,L11770,"1","0"
"20",Ca XI,"10",Ne,1s2.2s2.2p6,2s2.2p6,1S0,2p5 2P*<3/2>,591.6,0.12,L11770,"1","0"
"20",Ca XII,"11",F,1s2.2s2.2p5,2s2.2p5,2P*<3/2>,2p4 3P<2>,658.2,0.9,L11770,"1","0"
"20",Ca XIII,"12",O,1s2.2s2.2p4,2s2.2p4,3P<2>,2p3 4S*<3/2>,728.6,1.1,L11770,"1","0"
"20",Ca XIV,"13",N,1s2.2s2.2p3,2s2.2p3,4S*<3/2>,2p2 3P<0>,817.2,0.6,L11770,"1","0"
"20",Ca XV,"14",C,1s2.2s2.2p2,2s2.2p2,3P0,2p 2P*<1/2>,894,0.4,L11770,"1","0"
"20",Ca XVI,"15",B,1s2.2s2.2p,2s2.2p,2P*<1/2>,2s2 1S<0>,973.7,0.3,L11770,"1","0"
"20",Ca XVII,"16",Be,1s2.2s2,1s2.2s2,1S0,2s 2S<1/2>,1086.8,0.4,L11770,"1","0"
"20",Ca XVIII,"17",Li,1s2.2s,1s2.2s,2S<1/2>,1s2 1S<0>,1157.726,0.007,L16264c99,"0","1"
"20",Ca XIX,"18",He,1s2,1s2,1S0,1s 2S<1/2>,5128.8576,0.0003,L21139,"0","1"
"20",Ca XX,"19",H,1s,1s,2S<1/2>,,5469.86358,6e-05,L19200,"0","1"
